P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,9,101,255,706,329,44,76,10
2,12,123,328,574,255,65,161,11
3,7,108,334,604,257,67,140,13
4,8,70,313,600,303,56,97,82
5,14,193,385,529,187,51,151,19
