Model,seeds,Hop Increase mean,Hop Increase std,Hop Increase mean?std (%),Total Risk Reduction mean,Total Risk Reduction std,Total Risk Reduction mean?std (%),CVaR90 Reduction mean,CVaR90 Reduction std,CVaR90 Reduction mean?std (%),MaxRisk Reduction mean,MaxRisk Reduction std,MaxRisk Reduction mean?std (%),RE Reduction mean,RE Reduction std,RE Reduction mean?std (%)
GCN,10,0.10134832019830682,0.007049847746994327,10.13 ? 0.70,0.8449383422997083,0.003935198667506779,84.49 ? 0.39,0.9010969965566037,0.002456323253679766,90.11 ? 0.25,0.9062926617259593,0.003075548890458383,90.63 ? 0.31,0.9202419673726222,0.002332906336645773,92.02 ? 0.23
TEG-low,10,0.10795513930512515,0.009360553224123507,10.80 ? 0.94,0.8120414135621532,0.007095318932470227,81.20 ? 0.71,0.8952404775840572,0.0026486589057887378,89.52 ? 0.26,0.9060277798398415,0.003522329337108596,90.60 ? 0.35,0.9220555173264975,0.0026385530969962006,92.21 ? 0.26
Stable-Tail GNN,10,0.10226068468567126,0.007237780864731888,10.23 ? 0.72,0.8501282970256764,0.0040895252364905425,85.01 ? 0.41,0.9005268216702831,0.0026609977615097255,90.05 ? 0.27,0.9078276071702177,0.0026870523844113106,90.78 ? 0.27,0.9171996119653372,0.0050184474449368605,91.72 ? 0.50
Weighted-GCN,10,0.10769532134530721,0.006990830701831734,10.77 ? 0.70,0.8086254718807367,0.010658703534144363,80.86 ? 1.07,0.8949380470721788,0.0043648114247743265,89.49 ? 0.44,0.9034972923247999,0.004626807955233207,90.35 ? 0.46,0.9214212543095244,0.003290753069786057,92.14 ? 0.33
Edge-GAT,10,0.09978068690567374,0.0055013967105276215,9.98 ? 0.55,0.8428021053527415,0.004390685042967318,84.28 ? 0.44,0.8984801596429364,0.003748161826878615,89.85 ? 0.37,0.9043578999810438,0.003386261917463539,90.44 ? 0.34,0.9184975894628445,0.004369031978224167,91.85 ? 0.44
Ensemble-4,10,0.10473545621044249,0.007009816463529211,10.47 ? 0.70,0.8286721551232203,0.005800240830336357,82.87 ? 0.58,0.8975839678597438,0.0028362267507138165,89.76 ? 0.28,0.9046726844570246,0.002875842655875936,90.47 ? 0.29,0.9182371720581942,0.0038393227589375587,91.82 ? 0.38
Fusion-rho025,10,0.10305391645390287,0.008408317458720192,10.31 ? 0.84,0.8378137799178165,0.003885515657535822,83.78 ? 0.39,0.899652241397693,0.0025144073783898457,89.97 ? 0.25,0.9055870914144475,0.0028840227955900695,90.56 ? 0.29,0.9192643466240493,0.0021912372147082494,91.93 ? 0.22
