Setting,Set,beta,lambda,model_seeds,Risk Reduction mean,Risk Reduction std,Global Risk mean,Global Risk std,CVaR90 mean,CVaR90 std,Max Vehicle Risk mean,Max Vehicle Risk std,Edge Burden Gini mean,Edge Burden Gini std,Top10 Share mean,Top10 Share std,Risk Reduction mean?std (%)
Stable-Tail-combo-eta0.7-b1.5-l1,A,1.5,1.0,10,0.685089512206263,0.0223445518630364,2.454970754839833,0.17419305955184894,0.04395685111042967,0.005629485412509375,0.8820460869954759,0.07027836001696784,0.6886033373477111,0.01918509177580664,0.6687920125494383,0.024405096447513767,68.51 ? 2.23
Stable-Tail-combo-eta0.7-b2-l1,A,2.0,1.0,10,0.7006528875764817,0.016271143384197148,2.3525575341879863,0.1145813543118783,0.04061964978205104,0.0028766225014397124,0.870329983506999,0.05750628600227382,0.6765443793863086,0.01322590981098692,0.6537270625106795,0.017037005953224826,70.07 ? 1.63
Stable-Tail-combo-eta0.7-b2-l2,A,2.0,2.0,10,0.7069166953424306,0.010843634007729776,2.2993136809752284,0.0903909440542379,0.03942937255857124,0.0023017573022995133,0.8622189077758364,0.05626454218537358,0.6703730993949004,0.012174595144017104,0.6457599703426459,0.015077281786391441,70.69 ? 1.08
Stable-Tail-combo-eta0.7-b3-l1,A,3.0,1.0,10,0.7063382486822619,0.01083088766694504,2.2987904379671367,0.0819608771858292,0.03940554662799321,0.0019262580114750697,0.8601474351414733,0.07080608721165249,0.6710188871157956,0.010076964971606893,0.6461899873013044,0.0125525393507734,70.63 ? 1.08
Stable-Tail-combo-eta0.7-b1.5-l1,B,1.5,1.0,10,0.6239738124992235,0.018700480898069884,3.1579047135854585,0.1570484682644814,0.06892951426191327,0.005296592830108835,1.1103705593555715,0.10126693381570488,0.7363361698219777,0.01231988640605683,0.7219116612674764,0.01586794000081044,62.40 ? 1.87
Stable-Tail-combo-eta0.7-b2-l1,B,2.0,1.0,10,0.6257024589392689,0.019739489881131285,3.1423009281469403,0.16703480169588383,0.06704571675496002,0.005478484467145436,1.1143952069178638,0.1035421735345985,0.7357542356757191,0.012424900629380252,0.7205325052615499,0.016139404143409863,62.57 ? 1.97
Stable-Tail-combo-eta0.7-b2-l2,B,2.0,2.0,10,0.6395854013900307,0.008781775047675371,3.0267970626196936,0.07375020607213442,0.06420299451208676,0.004221837627845342,1.1515448535345147,0.08098874586482462,0.728289016771458,0.006347552120763176,0.710562664908096,0.007844376800116131,63.96 ? 0.88
Stable-Tail-combo-eta0.7-b3-l1,B,3.0,1.0,10,0.6381797573550643,0.00860298277621786,3.038601798755617,0.0722486910831357,0.06330245262014852,0.0038017767660635075,1.1289460231282376,0.07587458928863612,0.7291559551511163,0.006527793105211633,0.7113307504971931,0.008494207076805848,63.82 ? 0.86
