Model,Set,model_seeds,Global Risk mean,Global Risk std,Global Risk mean?std,CVaR90 mean,CVaR90 std,CVaR90 mean?std,Max Vehicle Risk mean,Max Vehicle Risk std,Max Vehicle Risk mean?std,Edge Burden Gini mean,Edge Burden Gini std,Edge Burden Gini mean?std,Top10 Share mean,Top10 Share std,Top10 Share mean?std
GCN,A,10,3.1467310334577228,0.06929477430503461,3.1467 ? 0.0693,0.07926089198688516,0.006058631864887606,0.0793 ? 0.0061,1.058746555824331,0.11163628137609109,1.0587 ? 0.1116,0.7485995567326662,0.004090040199400693,0.7486 ? 0.0041,0.7474842220102025,0.005677592685667095,0.7475 ? 0.0057
TEG-low,A,10,3.1799235301349738,0.14274898350295423,3.1799 ? 0.1427,0.07712379717079247,0.005457405563867271,0.0771 ? 0.0055,0.9613952584284451,0.045310391018023,0.9614 ? 0.0453,0.7500296630123686,0.008685282245437216,0.7500 ? 0.0087,0.749336092692178,0.011832257678119755,0.7493 ? 0.0118
Stable-Tail GNN,A,10,3.2667927876217346,0.1417143058583261,3.2668 ? 0.1417,0.08281735082378062,0.0054001585103517075,0.0828 ? 0.0054,1.0345766470250635,0.07897537189887426,1.0346 ? 0.0790,0.7546247047776554,0.006947074993598292,0.7546 ? 0.0069,0.7560025242117605,0.009615117673933303,0.7560 ? 0.0096
Weighted-GCN,A,10,3.230732812608207,0.07871074432603563,3.2307 ? 0.0787,0.07921496405696253,0.003418652721451069,0.0792 ? 0.0034,1.0035695912054334,0.13172315570906237,1.0036 ? 0.1317,0.753743833830747,0.005468216821770484,0.7537 ? 0.0055,0.7548172901946154,0.007175252089089214,0.7548 ? 0.0072
Edge-GAT,A,10,3.167348682844131,0.08328629556073149,3.1673 ? 0.0833,0.07890485351706426,0.006808265417345323,0.0789 ? 0.0068,1.0759356308046302,0.10000107017168398,1.0759 ? 0.1000,0.7502536173010412,0.005589485766418694,0.7503 ? 0.0056,0.7490637049479069,0.006803737963482964,0.7491 ? 0.0068
Ensemble-4,A,10,3.1784857577175947,0.06624798848328824,3.1785 ? 0.0662,0.07782026228470595,0.005495609160286745,0.0778 ? 0.0055,1.0170772177841827,0.0764751624458828,1.0171 ? 0.0765,0.7500741440602551,0.0033839145198383555,0.7501 ? 0.0034,0.7493901280728278,0.004597401351118968,0.7494 ? 0.0046
Fusion-rho025,A,10,3.1891773226395186,0.08078243524560184,3.1892 ? 0.0808,0.08138766191910449,0.005983943235356959,0.0814 ? 0.0060,1.0555767348274148,0.07526674082954546,1.0556 ? 0.0753,0.7514191100524706,0.003736670050316187,0.7514 ? 0.0037,0.7510161745376075,0.005646466039519999,0.7510 ? 0.0056
GCN,B,10,4.07812223510326,0.19231400164885276,4.0781 ? 0.1923,0.09797896872303768,0.007272642891611445,0.0980 ? 0.0073,1.3761416372011315,0.048905588752840554,1.3761 ? 0.0489,0.7824649755563929,0.008211871302049558,0.7825 ? 0.0082,0.7861671602355037,0.010405265597917258,0.7862 ? 0.0104
TEG-low,B,10,4.079297053044772,0.20168372302497722,4.0793 ? 0.2017,0.09683503458230278,0.005686489495871696,0.0968 ? 0.0057,1.3986051356382732,0.11249288175464979,1.3986 ? 0.1125,0.7794203416751955,0.008926121605149257,0.7794 ? 0.0089,0.7847977502345322,0.011566460189730473,0.7848 ? 0.0116
Stable-Tail GNN,B,10,4.035312261830692,0.20351638482424242,4.0353 ? 0.2035,0.09464388846024044,0.004556445978343513,0.0946 ? 0.0046,1.3827071985067065,0.07736712417883396,1.3827 ? 0.0774,0.7776724761533845,0.007451309675299747,0.7777 ? 0.0075,0.7821544124420742,0.010059628144265042,0.7822 ? 0.0101
Weighted-GCN,B,10,4.254730639340503,0.22578857606099814,4.2547 ? 0.2258,0.10060878905709711,0.006525811442534192,0.1006 ? 0.0065,1.409663596330572,0.09055610581067164,1.4097 ? 0.0906,0.7847943369006772,0.008288729051589104,0.7848 ? 0.0083,0.7929384888897438,0.011299085537906685,0.7929 ? 0.0113
Edge-GAT,B,10,4.367791587853497,0.3776948955469649,4.3678 ? 0.3777,0.10517687356764797,0.01021419548133312,0.1052 ? 0.0102,1.39748449479235,0.09430299380724834,1.3975 ? 0.0943,0.7916018492301305,0.014103473676796414,0.7916 ? 0.0141,0.7983091018975197,0.016677822100321336,0.7983 ? 0.0167
Ensemble-4,B,10,4.124002355479906,0.12423912917405773,4.1240 ? 0.1242,0.09905226314088694,0.004973780634697796,0.0991 ? 0.0050,1.3737422905964372,0.07334188198428403,1.3737 ? 0.0733,0.7826954240053116,0.005264032139815198,0.7827 ? 0.0053,0.7885448122573419,0.006974150577960481,0.7885 ? 0.0070
Fusion-rho025,B,10,4.067224631025637,0.17537986829487417,4.0672 ? 0.1754,0.0976432574698088,0.0062073089426893545,0.0976 ? 0.0062,1.3815224698639832,0.08267759492327437,1.3815 ? 0.0827,0.7819835828554047,0.008042203700005567,0.7820 ? 0.0080,0.7862533765349434,0.010316426700480216,0.7863 ? 0.0103
