P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,77,217,647,238,45,73,24
2,0,85,281,450,263,67,99,76
3,0,82,268,527,246,109,57,31
4,0,77,231,567,257,65,75,49
5,0,136,304,474,206,52,115,33
