P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,730,466,162,71,63,38,0
2,0,506,533,184,187,32,87,0
3,0,414,551,249,222,31,63,0
4,0,414,533,201,269,75,37,0
5,0,448,535,216,208,62,60,0
