P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,523,666,223,44,22,50,2
2,0,711,405,194,112,58,47,2
3,1,586,469,288,93,45,46,2
4,0,573,534,223,78,45,67,9
5,0,476,624,202,90,68,68,1
