experiment_tag,model,paper_model_name,split,eval_split,runs,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,qwk_mean,qwk_std,recall_6_8_mean,recall_6_8_std,precision_6_8_mean,precision_6_8_std,pr_auc_high_mean,pr_auc_high_std,high_fn_rate_mean,high_fn_rate_std,brier_mean,brier_std,ece_mean,ece_std
paper_comparison_10seed,gat,GAT,B,data_2020_train,10,0.5619430054166874,0.0789925249778102,0.7587654216659052,0.03620915643128625,0.9079120953290489,0.13364006940134918,0.6779981366975235,0.07345881191509676,0.7274999999999999,0.0967887160548974,0.7685209505941214,0.07533086448006542,0.8712862815822675,0.06808666625621,0.2725,0.0967887160548974,0.3253434747457504,0.04293726626911,0.13541638771147604,0.02174161631308282
paper_comparison_10seed,gat,GAT,B,data_2021_test,10,0.2545779781005384,0.042541406890584395,0.6011269182356388,0.02207029903401289,1.374410611290068,0.08285290798570671,0.20316589157305048,0.06162584150757207,0.17692307692307693,0.05499387330648004,0.3888888888888889,0.12320730965435198,0.3058600229278074,0.062495025364532615,0.8230769230769232,0.05499387330648003,0.5156511783599853,0.030899236652697337,0.11719939232812271,0.02756657932202177
paper_comparison_10seed,gat,GAT,B,data_2021_train,10,0.7544925952000113,0.08787785304320188,0.8489618567305209,0.04366641913952676,0.6367302083139537,0.1636030901539562,0.8311993613428623,0.08561882820066997,0.89,0.08096638534327412,0.9189290740219533,0.07967312977082361,0.9730285820314677,0.03398009086246539,0.11000000000000001,0.08096638534327412,0.22059854567050935,0.05457484228653584,0.14750411180271344,0.021377057516978666
paper_comparison_10seed,gat,GAT,B,data_2021_val,10,0.282059857187448,0.06758879901811171,0.6256492562616922,0.04395478631702332,1.353255501676918,0.15351655790068916,0.32503509679608883,0.23801320367438142,0.33999999999999997,0.21186998109427604,0.4894047619047619,0.35370677312642057,0.45700394631042895,0.15536846507300373,0.6599999999999999,0.21186998109427607,0.5039566189050675,0.03525557744008597,0.16477664205763073,0.056828271100373015
paper_comparison_10seed,gcn,GCN,B,data_2020_train,10,0.5431212288824193,0.08388055688882541,0.7475559173174308,0.034306743041977415,0.9841432109722176,0.1719705965752058,0.6418840234381797,0.09206085679599954,0.6625,0.11133657679906156,0.8018896652474957,0.11303827183602823,0.8273206976191275,0.10303352968475163,0.3375,0.11133657679906156,0.35356420278549194,0.061221342205181974,0.15098014340195848,0.04112268760608604
paper_comparison_10seed,gcn,GCN,B,data_2021_test,10,0.2881168046730741,0.0299156819842545,0.6212380258096176,0.023859038776242476,1.3738777471671684,0.09244998612320665,0.25618737915847534,0.0537870463516573,0.21538461538461537,0.0658729875828981,0.4692511655011655,0.09433560646737614,0.3495390510499675,0.05134838036614698,0.7846153846153847,0.0658729875828981,0.5047212243080139,0.03750756826381533,0.11633719773711385,0.03962581343994869
paper_comparison_10seed,gcn,GCN,B,data_2021_train,10,0.7069899731116457,0.09799274871318232,0.8255817515384687,0.05215279304820127,0.7574578474116314,0.2173010967719489,0.7566664145013592,0.14870976006066286,0.8,0.14907119849998596,0.8829962160302717,0.10703130126810596,0.9387620556314701,0.09459147995714977,0.2,0.14907119849998599,0.25279888361692426,0.07747381363407974,0.1665138948031447,0.03799975160409714
paper_comparison_10seed,gcn,GCN,B,data_2021_val,10,0.2803601020290085,0.05816214582506559,0.6277084110524955,0.04898028845645973,1.3450175706027379,0.17398136886547996,0.3580270563765452,0.21741865449118536,0.33999999999999997,0.21186998109427604,0.47023809523809523,0.3219547916728036,0.5018334888328494,0.1844536804461773,0.6599999999999999,0.21186998109427607,0.5064595848321914,0.05439785325695121,0.17297277132670086,0.04157741932349685
paper_comparison_10seed,graphsage,GraphSAGE,B,data_2020_train,10,0.5779327610103013,0.13160454974343352,0.757761287045806,0.057324907498375974,0.7908251335292125,0.2640361846323301,0.7187244857515429,0.13764026738701246,0.8099999999999999,0.17802933590968775,0.7997593982960455,0.1413738216662148,0.8749544941388214,0.15988721045943796,0.19,0.17802933590968775,0.32288168668746947,0.08639364704403737,0.11492230125785156,0.04074600101074182
paper_comparison_10seed,graphsage,GraphSAGE,B,data_2021_test,10,0.2959810631896636,0.06059686734827343,0.6163034382593353,0.03130546061702027,1.2773099922684612,0.1345636644581883,0.2992195268958378,0.09288891971223977,0.28076923076923077,0.11474179915520229,0.48638956574826137,0.12937843018534548,0.3762794589788979,0.07051608932500379,0.7192307692307692,0.11474179915520227,0.5069829046726226,0.04674430510000435,0.10574693574427485,0.045654345591600344
