experiment_tag,model,split,eval_split,runs,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,qwk_mean,qwk_std,recall_6_8_mean,recall_6_8_std,precision_6_8_mean,precision_6_8_std,pr_auc_high_mean,pr_auc_high_std,high_fn_rate_mean,high_fn_rate_std
10seed,edge_gat,A,data_2020_train,10,0.7377846597132064,0.08888624687510094,0.8330445382794917,0.04497681125862057,0.7194200241661408,0.19068525079049747,0.7874082825675388,0.08358441083038906,0.8709677419354838,0.10644618211410391,0.9064406218549712,0.06388318424393312,0.9564097042455092,0.06469369470701511,0.12903225806451613,0.10644618211410393
10seed,edge_gat,A,data_2020_val,10,0.24298324320388173,0.03566074209757934,0.6072998200795675,0.027657770636974846,1.4596957018392884,0.15609598626664145,0.23100256326229168,0.13962280042788078,0.25555555555555554,0.13907395078161916,0.368015873015873,0.18038916107434663,0.32186618213901075,0.11344922139058046,0.7444444444444445,0.13907395078161916
10seed,edge_gat,A,data_2021_test,10,0.3420068423478275,0.032074964523167424,0.6309361384047892,0.01672421022756702,1.3210980424507623,0.08130085962058584,0.2753384377717083,0.048992176410478275,0.24705882352941178,0.05079571039928221,0.4998169427191167,0.05858577713785792,0.37447476394112733,0.019141150953756507,0.7529411764705882,0.05079571039928221
10seed,edge_gat,B,data_2020_train,10,0.607495755105269,0.03348716416858458,0.7731591803700497,0.015099776612702712,0.8965915611573617,0.04942496416145324,0.6936397755722233,0.03306333590848539,0.7325,0.05143766454003655,0.8502158683610297,0.058258962473574503,0.8913506079531455,0.03199556452754413,0.26749999999999996,0.051437664540036544
10seed,edge_gat,B,data_2021_test,10,0.2891196950126524,0.03207201026308424,0.6177978128226025,0.02155040485615347,1.338432564405571,0.05037876138077909,0.2580489900468347,0.05592953931704034,0.2076923076923077,0.060677741365124264,0.39711313540260906,0.06404518701667962,0.331257020211695,0.0428609337035631,0.7923076923076924,0.06067774136512428
10seed,edge_gat,B,data_2021_train,10,0.7224588809234925,0.04346531713023639,0.8293395969889896,0.030099750317448187,0.7181748097858517,0.08110224759538538,0.7748610658794685,0.04407912060083944,0.828,0.06268084945889682,0.85288672116933,0.042382052261786686,0.9466718383807369,0.024295425000371813,0.172,0.06268084945889685
10seed,gcn,A,data_2020_train,10,0.7727745742938248,0.02549088802417213,0.8525648723192342,0.0166356498541581,0.6362690595735995,0.05489749370413071,0.8143660057743322,0.03507587040127915,0.8935483870967742,0.05278682885433796,0.936666518964906,0.03562007118696676,0.9813121145298961,0.009223878677731473,0.1064516129032258,0.05278682885433796
10seed,gcn,A,data_2020_val,10,0.24010924205704315,0.029950931130138445,0.6052861908804794,0.04031373164983651,1.4089690097649303,0.08878510134500589,0.23048091375543073,0.125052964562405,0.26666666666666666,0.14054567378526128,0.403015873015873,0.15809475999162742,0.32789901324559706,0.11285370275186235,0.7333333333333334,0.14054567378526128
10seed,gcn,A,data_2021_test,10,0.35345951462835057,0.028644401556364853,0.6391751269934319,0.019252682737925554,1.2677335726365622,0.02751970288206519,0.2795485137667845,0.037508004412003214,0.2392156862745098,0.03788595227761945,0.5644017652827722,0.08116740064202016,0.3919569496284722,0.01946036415639268,0.7607843137254903,0.03788595227761944
10seed,gcn,B,data_2020_train,10,0.5909575495458297,0.07557033582460376,0.7679699987185499,0.023653873401603277,0.9079541838664609,0.14562195265166628,0.6847754675745127,0.044616484012245716,0.725,0.05651941652604392,0.8336970713325202,0.08225777843390772,0.8781221912459707,0.09227848948784323,0.275,0.05651941652604389
