model,paper_model_name,split,seed,epochs,best_epoch,experiment_tag,alpha_ord,alpha_hr,alpha_topk,lambda_nll,lambda_var,gamma_unc,topk_frac,stage1_epochs,checkpoint_selection,gate_normalized,feature_standardization,edge_normalization,eval_split,macro_f1,weighted_f1,mae,qwk,recall_6_8,precision_6_8,pr_auc_high,high_fn_rate,brier,ece,high_risk_recall_at_top10pct,high_risk_recall_at_top20pct,ndcg_at_top20pct,high_risk_hits_at_10,high_risk_hits_at_20
gcn,GCN,B,5,50,50,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_val,0.3165272227772228,0.5968642468642469,1.5158516369703106,0.2150161316782414,0.4,0.2857142857142857,0.37296296296296294,0.6,0.5398745536804199,0.15888517234060498,0.2,0.4,0.4546805427986523,2.0,3.0
gcn,GCN,B,5,50,50,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_test,0.2979217110573043,0.6533276618022381,1.2456360036053409,0.3684907405727966,0.34615384615384615,0.5625,0.43738168001774386,0.6538461538461539,0.47126254439353943,0.11060215573053103,0.5,0.6538461538461539,0.5531409223096796,6.0,12.0
gcn,GCN,B,6,50,21,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2020_train,0.37152910573608544,0.6726675925796234,1.4097296854317451,0.41828724661004546,0.4,0.5714285714285714,0.5725439378778464,0.6,0.5082578659057617,0.2575271380687385,0.55,0.775,0.640041027677556,7.0,11.0
gcn,GCN,B,6,50,21,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_train,0.502663829703593,0.7166022721316474,1.3220785638075978,0.37564795823233277,0.45,0.6,0.6747337375415248,0.55,0.4513477087020874,0.25444309193302284,0.5,0.8,0.6050908210309759,6.0,11.0
gcn,GCN,B,6,50,21,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_val,0.2602564102564103,0.6064957264957266,1.4154846727233727,0.4716514753591844,0.4,0.6666666666666666,0.6488888888888888,0.6,0.5819247961044312,0.21793023612764148,0.6,0.8,0.7229511228878115,4.0,4.0
gcn,GCN,B,6,50,21,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_test,0.24388557123899143,0.6026203076040211,1.5642830042420037,0.2896681478914208,0.23076923076923078,0.46153846153846156,0.3393031988832127,0.7692307692307693,0.5715777277946472,0.22016249778302938,0.2692307692307692,0.5,0.5119247881124998,5.0,7.0
gcn,GCN,B,7,50,46,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2020_train,0.48860143129681316,0.7307423066339034,1.0384572296526593,0.6405007250045045,0.675,0.7297297297297297,0.7757848323610934,0.325,0.377425879240036,0.16089993729511706,0.7,0.925,0.7982405425284788,9.0,15.0
gcn,GCN,B,7,50,46,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_train,0.6645109481601417,0.8545369787204464,0.7376605622037054,0.8323345251884307,0.85,0.9444444444444444,0.9631711651351744,0.15,0.2508440911769867,0.20821210335601462,0.75,1.0,0.9217333012346777,10.0,17.0
gcn,GCN,B,7,50,46,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_val,0.2148809523809524,0.567936507936508,1.1444402449362843,0.385676506325495,0.4,0.5,0.602983682983683,0.6,0.5188075304031372,0.1618613537814882,0.4,0.6,0.38726202911114044,3.0,5.0
gcn,GCN,B,7,50,46,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_test,0.29874555468817765,0.5837535036988589,1.4823185428717427,0.21119699055187746,0.19230769230769232,0.38461538461538464,0.3377640378578108,0.8076923076923077,0.5590606331825256,0.12462813044722015,0.2692307692307692,0.5384615384615384,0.4923243235565412,4.0,7.0
gcn,GCN,B,8,50,38,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2020_train,0.5605664120994309,0.7354229237937078,1.0665132015443308,0.6136058997016804,0.575,0.92,0.8212517505832899,0.425,0.38111668825149536,0.1618790214699037,0.675,0.925,0.844717295737008,9.0,17.0
gcn,GCN,B,8,50,38,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_train,0.69605670249069,0.7975063332445135,0.8538386668843457,0.7112602535421326,0.7,0.9333333333333333,0.9396992111632204,0.3,0.2895730137825012,0.17311862263489852,0.7,0.95,0.8967298545103756,10.0,16.0
gcn,GCN,B,8,50,38,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_val,0.35775862068965514,0.7439080459770115,1.4698449269374476,0.42501197891710585,0.4,0.6666666666666666,0.6092592592592592,0.6,0.4364098012447357,0.24004562430911594,0.6,0.8,0.681693330389617,4.0,4.0
gcn,GCN,B,8,50,38,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_test,0.2726352624016695,0.6028770586056459,1.4075394701291677,0.2651362211839803,0.23076923076923078,0.5454545454545454,0.36151471451375927,0.7692307692307693,0.5114412307739258,0.12310691526881211,0.38461538461538464,0.5769230769230769,0.48603841192409347,6.0,9.0
gcn,GCN,B,9,50,50,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2020_train,0.5856259143759144,0.7724272973437653,0.9181982911915859,0.7029994293945261,0.75,0.7894736842105263,0.8722323542425673,0.25,0.32457417249679565,0.1548263599167007,0.725,0.975,0.8911672465869842,10.0,18.0
gcn,GCN,B,9,50,50,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_train,0.7898281359474869,0.8616785273910242,0.6288694269426511,0.7953041550502167,0.85,0.8947368421052632,0.9799736864442747,0.15,0.20247937738895416,0.15682831897654317,0.75,1.0,0.955097286181413,10.0,17.0
gcn,GCN,B,9,50,50,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_val,0.22580645161290322,0.5900438072481083,1.4494189254977379,0.3006247143074813,0.2,0.3333333333333333,0.48050505050505055,0.8,0.5935496091842651,0.20684327284495035,0.4,0.6,0.4557955184544265,3.0,4.0
gcn,GCN,B,9,50,50,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_test,0.27456362906027443,0.6277801837794021,1.371646250486151,0.22995223653352648,0.19230769230769232,0.38461538461538464,0.2982459526081213,0.8076923076923077,0.511549711227417,0.11656323625697745,0.2692307692307692,0.4230769230769231,0.44254336744981976,4.0,7.0
gat,GAT,B,0,50,50,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2020_train,0.6299866567397097,0.7816992304159756,0.8515821669424539,0.6845054685765045,0.725,0.8055555555555556,0.9097740399072513,0.275,0.29592186212539673,0.12265067894305136,0.775,0.975,0.9148123299145926,10.0,19.0
gat,GAT,B,0,50,50,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_train,0.7815527950310559,0.867820440429136,0.5260766316569037,0.8398915216999511,0.95,0.95,0.9976190476190476,0.05,0.18986870348453522,0.13489998555318877,0.9,1.0,0.9628606288594463,10.0,19.0
gat,GAT,B,0,50,50,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_val,0.4472222222222222,0.6914285714285714,1.1373454755286345,0.692497819133469,0.6,1.0,0.6756944444444444,0.4,0.483976274728775,0.2396257976690928,0.6,0.6,0.7076713249062065,3.0,4.0
gat,GAT,B,0,50,50,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_test,0.3515431653192542,0.6409354309762658,1.332596925562951,0.20728370936223128,0.19230769230769232,0.3333333333333333,0.2673058090871921,0.8076923076923077,0.48994073271751404,0.12251005838583184,0.2692307692307692,0.5384615384615384,0.3817587458456255,3.0,5.0
gat,GAT,B,1,50,50,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2020_train,0.6389504967455722,0.7832696089567669,0.8466100687126653,0.7365152510792624,0.825,0.8048780487804879,0.923342925703959,0.175,0.31016507744789124,0.14154220772529275,0.8,1.0,0.9004011416448433,10.0,19.0
gat,GAT,B,1,50,50,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_train,0.7578525623408271,0.8478397244028255,0.6043359623146526,0.8410192304399199,0.95,0.95,0.9924874686716791,0.05,0.22292548418045044,0.13612807762216436,0.85,1.0,0.9627341317436635,10.0,19.0
gat,GAT,B,1,50,50,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_val,0.30158730158730157,0.6523809523809523,1.3120571416302376,0.2132439532566356,0.2,1.0,0.4203030303030303,0.8,0.46482521295547485,0.15989151795705156,0.4,0.4,0.5104376754463762,2.0,4.0
gat,GAT,B,1,50,50,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_test,0.22978327228327225,0.5964266464266464,1.4096063937290326,0.21688218873502696,0.19230769230769232,0.4166666666666667,0.2511673222311529,0.8076923076923077,0.5344216227531433,0.14569982510429244,0.2692307692307692,0.46153846153846156,0.43005366876762013,4.0,7.0
gat,GAT,B,2,50,47,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2020_train,0.597808670358734,0.7745909386824475,0.8595304083666218,0.6737094353917013,0.75,0.7142857142857143,0.8321369020303647,0.25,0.30285128951072693,0.13148429264316697,0.725,0.975,0.8757501093898983,9.0,16.0
gat,GAT,B,2,50,47,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_train,0.8169429438992415,0.8600376315490604,0.5172688640707978,0.900436276988746,0.95,1.0,0.9934782608695651,0.05,0.20542500913143158,0.12666669471020048,0.9,1.0,0.9711746501180735,10.0,18.0
gat,GAT,B,2,50,47,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_val,0.24536119618086832,0.6072819712163974,1.52943722255429,-0.12857381708744375,0.0,0.0,0.15825396825396826,1.0,0.5145918130874634,0.1069106956322988,0.2,0.2,0.11693713349357093,1.0,2.0
gat,GAT,B,2,50,47,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_test,0.27124566064407724,0.6144053897361955,1.2556596221119278,0.17516129596279273,0.23076923076923078,0.4,0.35382572287039893,0.7692307692307693,0.47047168016433716,0.08718477108994048,0.38461538461538464,0.46153846153846156,0.3830752472045884,4.0,8.0
gat,GAT,B,3,50,49,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2020_train,0.654377298440765,0.7981553340866813,0.7764801859991389,0.7699257229930444,0.85,0.8717948717948718,0.9327209542987593,0.15,0.285802960395813,0.11976860936615519,0.875,0.975,0.9102980116308856,10.0,20.0
gat,GAT,B,3,50,49,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_train,0.8545213847667674,0.9020574391624723,0.5277915721618393,0.9071729957805907,0.95,0.95,0.9934782608695651,0.05,0.16426829993724823,0.14446993189101867,0.9,1.0,0.9861513613346747,10.0,19.0
gat,GAT,B,3,50,49,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_val,0.2674731182795699,0.6172043010752688,1.1154609034429124,0.4983915613076981,0.4,0.6666666666666666,0.5676136363636364,0.6,0.49316346645355225,0.14940946565734017,0.6,0.6,0.5793532233872312,3.0,4.0
gat,GAT,B,3,50,49,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_test,0.2066807034270883,0.5536354088078227,1.3856006922116078,0.1484182610342868,0.07692307692307693,0.2222222222222222,0.26548463904016356,0.9230769230769231,0.5618060827255249,0.10543797836378888,0.3076923076923077,0.5384615384615384,0.38575265328084174,3.0,8.0
gat,GAT,B,4,50,50,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2020_train,0.6038065822800336,0.7926014193934019,0.8420430016967008,0.7248625732420173,0.75,0.8333333333333334,0.9044646628000598,0.25,0.29917725920677185,0.14326311313593873,0.75,0.975,0.9023066413963826,10.0,18.0
gat,GAT,B,4,50,50,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_train,0.8637000916438399,0.8868514116473893,0.6021470143497326,0.8474086918460282,0.9,0.9473684210526315,0.9840285001040149,0.1,0.1943836659193039,0.14506901817565615,0.8,1.0,0.9523629399982435,10.0,17.0
gat,GAT,B,4,50,50,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_val,0.2015625,0.5941666666666667,1.372243230828705,0.0528835194894004,0.0,0.0,0.2571428571428571,1.0,0.4707379639148712,0.10611068606376647,0.2,0.4,0.34645274595910325,2.0,3.0
gat,GAT,B,4,50,50,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_test,0.2617034545913856,0.6012701314425453,1.2776080868712534,0.12858243139162506,0.11538461538461539,0.375,0.2941778433206045,0.8846153846153846,0.48178210854530334,0.05895035398436023,0.2692307692307692,0.38461538461538464,0.38268183397770644,4.0,7.0
gat,GAT,B,5,50,50,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2020_train,0.5538988692869646,0.7782980516826574,0.7436341547047277,0.7518227967899462,0.825,0.7857142857142857,0.9329863956465245,0.175,0.2802392840385437,0.09198942200807511,0.775,1.0,0.9063546796180569,10.0,20.0
gat,GAT,B,5,50,50,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_train,0.7660364281108962,0.9013912578395171,0.475937246591284,0.9305993690851735,0.95,1.0,1.0,0.05,0.15220236778259277,0.13900860415940935,0.9,1.0,0.9647207934063645,10.0,19.0
gat,GAT,B,5,50,50,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_val,0.2931547619047619,0.5552910052910053,1.4153099395127737,0.2546740778170793,0.4,0.2857142857142857,0.3910569105691057,0.6,0.560948371887207,0.11376963125334846,0.4,0.6,0.5614396349613359,3.0,3.0
gat,GAT,B,5,50,50,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_test,0.23433212593823058,0.6077284510424045,1.3046218273035908,0.25284179556902775,0.19230769230769232,0.4166666666666667,0.3392393974263213,0.8076923076923077,0.5161564946174622,0.11233251186104508,0.34615384615384615,0.5,0.5732471869060766,6.0,9.0
gat,GAT,B,6,50,31,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2020_train,0.43063138324623146,0.7029289712789432,1.1554905047064716,0.5417940162072736,0.575,0.6388888888888888,0.7333520900420882,0.425,0.4010852575302124,0.17233777842828937,0.625,0.875,0.7740493583715393,9.0,18.0
gat,GAT,B,6,50,31,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_train,0.5810999515439849,0.7731302385557705,0.9922438227573845,0.6352379860480294,0.75,0.7894736842105263,0.8994089801218956,0.25,0.33324530720710754,0.19896893965249707,0.8,0.95,0.7989190006679779,9.0,16.0
gat,GAT,B,6,50,31,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_val,0.28880208333333335,0.6573611111111112,1.4319133891353784,0.44950991565990417,0.4,0.6666666666666666,0.5775091575091575,0.6,0.5094420313835144,0.24742494755321082,0.4,0.8,0.6463823148722084,4.0,4.0
gat,GAT,B,6,50,31,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_test,0.24461709856018685,0.6113353721441231,1.4072565274561286,0.3052779075198505,0.23076923076923078,0.5,0.35296256957791783,0.7692307692307693,0.4991292953491211,0.14863747935574334,0.34615384615384615,0.46153846153846156,0.4986154985736882,5.0,8.0
gat,GAT,B,7,50,39,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2020_train,0.4611083612669823,0.7156079412983107,1.009523135963784,0.6437562470708755,0.675,0.6585365853658537,0.7953794631849511,0.325,0.36610856652259827,0.13288211555782536,0.7,0.925,0.8751403189484848,10.0,17.0
gat,GAT,B,7,50,39,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_train,0.6753984926201084,0.8079316811043191,0.6638461194431969,0.7997560289011917,0.85,0.7727272727272727,0.9429190381628463,0.15,0.25821056962013245,0.14884540946646171,0.75,1.0,0.9674403005729267,10.0,15.0
gat,GAT,B,7,50,39,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_val,0.2099206349206349,0.5752380952380952,1.2117009236925393,0.4394800974817221,0.4,0.4,0.4980952380952381,0.6,0.5256025791168213,0.112096545431349,0.4,0.6,0.3699401094412379,4.0,5.0
gat,GAT,B,7,50,39,paper_comparison_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_test,0.29222304367606916,0.6000310478813664,1.4852614918767835,0.2427740267622155,0.23076923076923078,0.4,0.3424245074430369,0.7692307692307693,0.5548844337463379,0.12717254755196267,0.23076923076923078,0.4230769230769231,0.5131303408634247,4.0,6.0
