split,macro_f1,weighted_f1,mae,qwk,recall_6_8,precision_6_8,pr_auc_high,high_fn_rate,brier,ece,high_risk_recall_at_top10pct,high_risk_recall_at_top20pct,ndcg_at_top20pct,high_risk_hits_at_10,high_risk_hits_at_20
data_2020_train,0.2664389876704031,0.6245670020849305,0.9823132736572978,0.5924231669164235,0.8,0.5161290322580645,0.5408511375620814,0.2,0.4613417685031891,0.09260265561162997,0.6,0.975,0.7078132731647472,5.0,9.0
data_2021_train,0.28787431048069345,0.6418505699020817,0.7038346788729507,0.761630550083346,0.95,0.6333333333333333,0.6710685598446064,0.05,0.3968624770641327,0.10778122463009575,0.55,1.0,0.7368694435612632,6.0,13.0
data_2021_val,0.23154761904761906,0.5869841269841269,1.1009966797846062,0.510108864696734,0.8,0.4,0.5542424242424242,0.2,0.5144261717796326,0.21238614122072852,0.6,0.6,0.3825251246465605,4.0,5.0
data_2021_test,0.19648610001261724,0.5565547294360854,1.4563643018271035,0.24075862846719975,0.2692307692307692,0.28,0.31405690232078626,0.7307692307692307,0.5931224226951599,0.11692254621166366,0.2692307692307692,0.5,0.4485883577979889,5.0,6.0
