model,paper_model_name,split,seed,epochs,best_epoch,experiment_tag,alpha_ord,alpha_hr,alpha_topk,lambda_nll,lambda_var,gamma_unc,topk_frac,stage1_epochs,checkpoint_selection,gate_normalized,feature_standardization,edge_normalization,eval_split,macro_f1,weighted_f1,mae,qwk,recall_6_8,precision_6_8,pr_auc_high,high_fn_rate,brier,ece,high_risk_recall_at_top10pct,high_risk_recall_at_top20pct,ndcg_at_top20pct,high_risk_hits_at_10,high_risk_hits_at_20
graphsage_teg_concat,GraphSAGE-TEG-Concat,B,0,50,50,paper_teg_concat_fusions_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2020_train,0.3502895940787747,0.670384010210246,0.7936141335601931,0.6857336581502238,0.85,0.6538461538461539,0.8186901127793261,0.15,0.3971034586429596,0.08565604736526143,0.75,0.975,0.80154821608069,9.0,18.0
graphsage_teg_concat,GraphSAGE-TEG-Concat,B,0,50,50,paper_teg_concat_fusions_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_train,0.38036518764078375,0.6776766050792253,0.6167612228923258,0.8090423182932587,1.0,0.8,0.9370437576250943,0.0,0.3613079786300659,0.08569516326216134,0.8,1.0,0.9047085505855628,10.0,18.0
graphsage_teg_concat,GraphSAGE-TEG-Concat,B,0,50,50,paper_teg_concat_fusions_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_val,0.24675324675324672,0.5743145743145743,1.0836584449872178,0.6015267175572518,0.6,1.0,0.7259259259259259,0.4,0.5659331679344177,0.2224023540814718,0.6,0.8,0.7542073541511632,4.0,4.0
graphsage_teg_concat,GraphSAGE-TEG-Concat,B,0,50,50,paper_teg_concat_fusions_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_test,0.2775752341146544,0.627564392436794,1.2185350223169784,0.3858842367818688,0.38461538461538464,0.38461538461538464,0.354563127374446,0.6153846153846154,0.4728742837905884,0.08860329800360911,0.3076923076923077,0.5384615384615384,0.4150053795608902,4.0,7.0
graphsage_teg_concat,GraphSAGE-TEG-Concat,B,1,50,50,paper_teg_concat_fusions_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2020_train,0.28804916703523514,0.6383549425297063,0.8920811361917316,0.6154076547447165,0.825,0.532258064516129,0.6522792415784888,0.175,0.4143158793449402,0.05891425299473767,0.625,0.925,0.7526744953319602,8.0,14.0
graphsage_teg_concat,GraphSAGE-TEG-Concat,B,1,50,50,paper_teg_concat_fusions_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_train,0.3320380992005706,0.685897392601158,0.6812821198610415,0.7571959216741314,0.95,0.7037037037037037,0.7221666381549658,0.05,0.33701470494270325,0.116003568707542,0.6,1.0,0.7649786937728109,6.0,14.0
graphsage_teg_concat,GraphSAGE-TEG-Concat,B,1,50,50,paper_teg_concat_fusions_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_val,0.25421554252199413,0.6141739980449658,1.2264666095105743,0.386092715231788,0.4,0.4,0.3567340067340067,0.6,0.4911733865737915,0.15499111248387232,0.4,0.4,0.33943368956210435,2.0,3.0
graphsage_teg_concat,GraphSAGE-TEG-Concat,B,1,50,50,paper_teg_concat_fusions_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_test,0.1952553485162181,0.5477098216228651,1.3176893705784478,0.21690532094315285,0.23076923076923078,0.3,0.2875861202537629,0.7692307692307693,0.5780186057090759,0.12015945605329563,0.3076923076923077,0.4230769230769231,0.3676085613298893,3.0,7.0
graphsage_teg_concat,GraphSAGE-TEG-Concat,B,2,50,50,paper_teg_concat_fusions_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2020_train,0.3270483023288072,0.6779259231903109,0.8181216769241627,0.6797500601393633,0.9,0.5714285714285714,0.656738689269554,0.1,0.3881457448005676,0.06782225026862433,0.675,0.975,0.7668434776838675,6.0,12.0
graphsage_teg_concat,GraphSAGE-TEG-Concat,B,2,50,50,paper_teg_concat_fusions_10seed,0.5,1.0,0.3,0.0,0.0,0.5,0.2,0,best,False,False,per_year,data_2021_train,0.3187982307547525,0.6460566278254025,0.5974957119577222,0.762771678243334,0.95,0.6785714285714286,0.8840007080644199,0.05,0.35892748832702637,0.06934046186506748,0.7,1.0,0.8529974185074329,9.0,16.0
