beta,lambda_concentration,runs,pyvrp_cost_mean,pyvrp_cost_std,global_risk_mean,global_risk_std,global_cvar90_mean,global_cvar90_std,max_vehicle_risk_mean,max_vehicle_risk_std,max_vehicle_cvar90_mean,max_vehicle_cvar90_std,vehicle_risk_gini_mean,vehicle_risk_gini_std,risk_variance_mean,risk_variance_std,edge_burden_gini_used_mean,edge_burden_gini_used_std,top10_burden_share_mean,top10_burden_share_std,max_edge_burden_mean,max_edge_burden_std,cost_increase_pct,risk_reduction_pct
0.0,0.0,10,134331.5,350.90779099042214,9.646235078668543,1.0929961919395088,0.31275533785849785,0.0639864093462347,2.6548214831629595,0.537177042224142,0.45961218955305716,0.11935652165159873,0.1420932149590362,0.03706561032169128,0.3047538409708396,0.2287870101866873,0.8729467575527569,0.006107152379101472,0.896543210553873,0.010012465570283286,1.3798186779022217,0.3873176371605595,0.0,0.0
0.25,0.0,10,142025.7,243.11773553842863,6.34172893637151,1.048114835095592,0.1921298697921434,0.026547297412907057,2.0050374180929795,0.33310671871047964,0.3441202664700529,0.0903464365787628,0.22219566683352054,0.06243580399660463,0.27662602514836765,0.15955087667449128,0.8639478964453794,0.01185847903205184,0.8758983104986691,0.018891165583075378,1.0719905912876129,0.2412390588762622,0.05727770478257156,0.3425695222381836
0.5,0.0,10,147999.1,239.92288112826776,4.8713316901666985,0.2921922457708926,0.12371168195065893,0.020298053563921524,1.5232091280937312,0.22434429017686258,0.18623162987656774,0.03195128083977452,0.2282493741055373,0.050990378710868214,0.1760686224420169,0.07305796493436387,0.8486393174578628,0.00910820203186018,0.845891851557058,0.010750981026441505,0.9568782329559327,0.07164847685960722,0.10174530917915757,0.4950017648917201
1.0,0.0,10,156144.6,258.38309198208424,3.196505361925665,0.2584964276254094,0.06847091479675453,0.007242304540313875,1.1504665538937844,0.13086652366655915,0.1298447420881573,0.026702725151642886,0.2759361576095457,0.08286050040381927,0.11088851215336448,0.04849650550051479,0.7896599566718899,0.010242766438568175,0.7626561110634211,0.01562916508444562,0.5189148783683777,0.0,0.16238261316221442,0.6686266366247895
2.0,0.0,10,168418.5,532.9749316598087,2.5597678113990696,0.17166295234309173,0.050168533124085535,0.006017850230778147,0.7502609021350508,0.06781587300140347,0.08736558476196868,0.016278964461556453,0.2464823477029121,0.041260970075465114,0.05834788517061894,0.012501591573025406,0.7623425274281437,0.012416570516099658,0.7196214128981883,0.017348400263436873,0.5189148783683777,0.0,0.25375284278073273,0.7346355556832308
