beta,lambda_concentration,runs,pyvrp_cost_mean,pyvrp_cost_std,global_risk_mean,global_risk_std,global_cvar90_mean,global_cvar90_std,max_vehicle_risk_mean,max_vehicle_risk_std,max_vehicle_cvar90_mean,max_vehicle_cvar90_std,vehicle_risk_gini_mean,vehicle_risk_gini_std,risk_variance_mean,risk_variance_std,edge_burden_gini_used_mean,edge_burden_gini_used_std,top10_burden_share_mean,top10_burden_share_std,max_edge_burden_mean,max_edge_burden_std,cost_increase_pct,risk_reduction_pct
0.0,0.0,10,146997.3,470.54083539877576,6.987902014993961,0.6381554766617913,0.19115308731679986,0.041054347698986964,2.3448648031644552,0.41718653608752954,0.3514741014520682,0.07994651218680073,0.24459108369041668,0.05488747636759927,0.41995245047781793,0.1990699641031849,0.869504902405466,0.00671555729356012,0.8889766219605735,0.007996930867036052,0.9425950229167939,0.27097701668687985,0.0,0.0
0.25,0.0,10,155143.3,89.49245778276514,5.771786148214597,0.24083404516735235,0.14428675803898847,0.0028664315903673752,2.0317885002936236,0.2632148074702083,0.29487031635517874,0.02723736608692481,0.27542449660865265,0.032423661266611004,0.36386531772657127,0.11840161265430046,0.8636897203954346,0.0004770583298247377,0.8786580487450039,0.00404190740074293,0.8569045662879944,0.0,0.05541598383099554,0.1740316140910057
0.5,0.0,10,162989.2,283.3163916503558,4.710015780087633,0.49404079942250334,0.11965885549432928,0.012993750281438825,1.833877527802906,0.5154706586370117,0.28743453221927795,0.10801200960454244,0.27367025539479306,0.07683006272854008,0.29411203953362086,0.2043059803813426,0.8532609069642447,0.008293986146487848,0.8561106356325497,0.013886377374695516,0.7791926741600037,0.0668837475586612,0.10879043356578674,0.3259756977156141
1.0,0.0,10,174825.3,635.9245325595728,3.4344792407813656,0.2992358601210238,0.09120526293275505,0.00777028622832865,1.4082030237244907,0.1331195727023279,0.1898411318556302,0.027004124030567265,0.3119884887381187,0.05830074354980263,0.1677699685552434,0.0515788274756602,0.8348853935247085,0.0058294584981820425,0.818136511031135,0.010764327015680754,0.7333962559700012,0.01267337563057765,0.18930959956407364,0.5085106755343016
2.0,0.0,10,192042.9,450.5274563097003,2.7287226521915726,0.10885108296102262,0.06836780863383445,0.0038119863623046458,1.0930599966177397,0.10721736226940261,0.11523015110953043,0.01878812398150676,0.2917385280234675,0.05413142893978594,0.09733790401062867,0.034719505846143216,0.8087411091450905,0.008128511551878779,0.7735285689260285,0.010603158706714227,0.7574422955513,0.0,0.30643828151945657,0.6095075966524496
