P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,90,404,607,113,30,54,23
2,0,113,417,448,145,62,63,73
3,0,90,395,512,185,62,47,29
4,0,95,384,524,140,90,41,47
5,0,139,412,485,108,71,76,29
