customer_set,Global risk,CVaR90,Edge Gini,Top10 share
A,0.21189542297407296,0.29533232933412523,0.09645090308745656,0.12339204919777619
B,0.15684773694533288,0.2865903103257379,0.044714884371527326,0.06066160188512407
