customer_set,risk_source,delta_cost_points,delta_risk,delta_cvar90,delta_edge_gini,delta_top10,risk_lambda0,risk_lambda1,edge_gini_lambda0,edge_gini_lambda1,top10_lambda0,top10_lambda1
A,GCN,0.07736269509706922,0.20495828265739766,0.3058289970375441,0.07022406988123371,0.09962918897249261,2.5070680768461897,1.993223709310405,0.759431399421902,0.706101035758825,0.7410497877935122,0.6672195984473072
A,TEG-low,0.0662505391895663,0.2536459758673932,0.49846211038905547,0.12892435427430837,0.1543944073892334,3.2925463970022975,2.4574052530457267,0.7263996501226847,0.6327490442854051,0.7188550027058956,0.6078678105641787
B,GCN,0.1009764473368128,0.22965467361386058,0.2968752034640773,0.05269560185150245,0.07984213087295111,3.6787924667494374,2.8339405835047367,0.8136025312320776,0.7707292561808448,0.8099860519439652,0.7453150395793103
B,TEG-low,0.08329830097617427,0.21823248380266497,0.29509832860232293,0.10063874255782945,0.1216579160240588,3.4905409117520323,2.728791498765349,0.7124004167678425,0.6407053346265525,0.7067278851990606,0.620748843489531
