P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,824,417,195,27,9,58,0
2,0,729,364,205,59,52,120,0
3,0,715,401,204,62,57,90,1
4,0,748,380,171,49,94,78,9
5,0,697,463,188,34,34,112,1
