P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,76,148,415,432,120,32,98
2,0,80,196,362,303,147,50,183
3,0,76,185,387,350,138,91,93
4,0,73,147,387,398,114,73,129
5,0,126,244,342,313,98,44,153
