label,beta,lambda_concentration,seed,pyvrp_cost,global_risk,global_cvar90,max_vehicle_risk,edge_burden_gini_used,top10_burden_share,routes,customer_set,risk_reduction,edge_gini_reduction,top10_reduction,route_overlap,selection_score
risk_aware_lambda0,1.0,0.0,3,156753,2.462001194442564,0.055335376439068246,0.8666587744810386,0.7943873516057125,0.7610841586496226,"[[0, 27, 35, 18, 34, 33, 5, 50, 38, 3, 15, 0], [0, 30, 23, 26, 28, 2, 25, 11, 16, 42, 14, 0], [0, 48, 12, 49, 40, 10, 37, 13, 17, 44, 20, 0], [0, 46, 22, 43, 8, 7, 36, 31, 9, 47, 21, 0], [0, 45, 39, 32, 4, 29, 19, 6, 24, 41, 1, 0]]",,,,,,
concentration_aware_lambda1,1.0,1.0,3,164557,1.6517597054626094,0.02767456219707792,0.41817364825692493,0.7009400848594924,0.6241787554470657,"[[0, 40, 37, 10, 35, 18, 34, 33, 5, 20, 48, 0], [0, 15, 3, 14, 13, 17, 44, 29, 47, 21, 27, 0], [0, 49, 12, 19, 6, 24, 41, 4, 32, 39, 1, 0], [0, 36, 50, 38, 31, 9, 43, 8, 7, 22, 46, 0], [0, 42, 16, 45, 11, 25, 2, 28, 26, 23, 30, 0]]",,,,,,
selection_metrics,,,3,,,,,,,,A,0.32909873919174804,0.11763438397806238,0.17988208221977156,0.6764705882352942,0.01871427923378903
