panel,risk_matrix,p95,tail_gap,mean_change_pct,p95_change_pct,p99_change_pct,tail_gap_change_pct
12-1_scatter,GCN,0.09901774227619164,0.2749797075986863,,,,
12-1_scatter,TEG-low,0.0942759975790977,0.32212785333394994,,,,
12-1_scatter,Stable-Tail GNN,0.06894283518195146,0.34028876796364793,,,,
12-1_scatter,Edge-GAT,0.10208544209599486,0.2983056001365186,,,,
12-1_scatter,Weighted-GCN,0.10398826301097855,0.2610377341508867,,,,
12-2_relative_change_vs_gcn,TEG-low,,,9.59833626227056,-4.78878288682834,11.33868721624801,17.146045483436776
12-2_relative_change_vs_gcn,Stable-Tail GNN,,,-8.882629723317706,-30.373250694858374,9.420960833400049,23.75050178613113
