risk_matrix,edge_count,mean,p50,p75,p90,p95,p99,max,std,tail_gap
GCN,7647,0.017184431606788102,0.0022330794017761946,0.0034389409702271223,0.007900386117398739,0.09901774227619164,0.37399744987487793,0.8528011441230774,0.07075368087326867,0.2749797075986863
TEG-low,7647,0.01883385113726351,0.003720018547028303,0.004847895819693804,0.008540156297385693,0.0942759975790977,0.41640385091304766,0.8571691513061523,0.07506743505080486,0.32212785333394994
Stable-Tail GNN,7647,0.015658002177011514,0.0015081452438607812,0.0034498588647693396,0.008378436788916588,0.06894283518195146,0.40923160314559937,0.8495379090309143,0.07125999297860883,0.34028876796364793
Edge-GAT,7647,0.017484101983827462,0.0021891926880925894,0.0034519496839493513,0.008452125824987888,0.10208544209599486,0.4003910422325134,0.8581410050392151,0.07318209896261915,0.2983056001365186
Weighted-GCN,7647,0.01811917397933677,0.0039253877475857735,0.004715507850050926,0.00725418608635664,0.10398826301097855,0.36502599716186523,0.8541135787963867,0.06832583065448045,0.2610377341508867
Fusion-rho0.25,7647,0.01740113944284154,0.0024161238774246373,0.0035559256355018063,0.008009298757686162,0.09961381037791102,0.37715776875388785,0.8538931662693762,0.07118236955903301,0.27754395837597684
Ensemble-4,7647,0.01762016269626972,0.00281432899646461,0.0037712728371843696,0.008205747231841087,0.1031266264617443,0.392014964222908,0.8550534844398499,0.07066424428259026,0.2888883377611637
