risk_mode,zero_risk_ratio,risk_p75,risk_p90
raw,0.9314763959722767,0.0,0.0
floor_0.001,0.0,0.0004940528888255358,0.0007948323036544025
floor_0.01,0.0,0.004940528888255358,0.007948323152959347
floor_0.05,0.0,0.024697542190551758,0.03879256546497345
