group,src,dst,method,path,hop,mean_risk,max_risk,cvar80,cvar90,cvar95,re,hhi,gini,total_risk,hop_increase_pct,risk_reduction_pct,cvar90_reduction_pct
high_high,3142,1367,Hop-shortest,3142 3143 4625 1391 1392 3680 4429 3636 4787 3477 5018 3946 1368 1367,13,0.03282181803996746,0.426683634519577,0.03282181803996746,0.03282181803996746,0.426683634519577,0.031243222328365385,0.9999999999953129,0.9230769230769231,0.426683634519577,0.0,0.0,0.0
high_high,3142,1367,Mean-risk-raw,3142 3143 4625 1391 1392 3680 4429 3636 4789 3477 5018 3946 1368 1367,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999976564,0.9999999999695325
high_high,3142,1367,Mean-risk-floor,3142 3143 4625 1391 1392 3680 4429 3636 4789 3477 5018 3946 1368 1367,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999976564,0.9999999999695325
high_high,3142,1367,CVaR-risk,3142 3143 4625 3379 2386 3535 3712 4295 3566 3777 5018 3946 1368 1367,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999976564,0.9999999999695325
high_high,3142,1367,CVaR+Concentration,3142 3143 4625 3379 2386 3535 3712 4295 3566 3777 5018 3946 1368 1367,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999976564,0.9999999999695325
high_normal,3414,3516,Hop-shortest,3414 4295 3566 4094 4733 3846 3516,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_normal,3414,3516,Mean-risk-raw,3414 4295 3566 4094 4733 3846 3516,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_normal,3414,3516,Mean-risk-floor,3414 4295 3566 4094 4733 3846 3516,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_normal,3414,3516,CVaR-risk,3414 4295 3566 4094 4733 3846 3516,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_normal,3414,3516,CVaR+Concentration,3414 4295 3566 4094 4733 3846 3516,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal_high,220,858,Hop-shortest,220 3477 4203 3514 1298 3643 858,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal_high,220,858,Mean-risk-raw,220 3477 4203 3514 1298 3643 858,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal_high,220,858,Mean-risk-floor,220 3477 4203 3514 1298 3643 858,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal_high,220,858,CVaR-risk,220 3477 4203 3514 1298 3643 858,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal_high,220,858,CVaR+Concentration,220 3477 4203 3514 1298 3643 858,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
