P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,866,433,57,75,30,8,61
2,0,698,332,175,87,46,22,169
3,0,612,395,229,74,34,53,133
4,0,611,403,165,96,47,77,130
5,0,679,412,131,85,37,38,147
