P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,726,540,128,68,25,11,32
2,0,556,487,185,118,135,23,25
3,0,464,524,223,146,111,39,23
4,0,439,492,225,149,156,50,18
5,0,626,450,137,136,96,51,33
