P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,838,380,156,63,38,45,10
2,1,735,325,137,118,79,71,63
3,0,626,333,208,136,110,71,46
4,0,651,327,146,144,83,85,93
5,0,629,417,163,83,91,79,67
