setting,set,eta,beta,lambda,cost_increase_pct_mean,cost_increase_pct_std,risk_reduction_pct_mean,risk_reduction_pct_std,global_risk_mean,cvar90_mean,max_vehicle_risk_mean,edge_gini_mean,top10_share_mean
eta0.7-b2-l1,A,0.7,2.0,1.0,0.34826350439454246,0.04915935740176623,0.7006528875763925,0.01627114338419563,2.3525575341879863,0.04061964978205107,0.870329983506999,0.6765443793863086,0.6537270625106795
eta0.7-b2-l1,B,0.7,2.0,1.0,0.41607366354046277,0.05978823052436858,0.6257024589391944,0.019739489881128922,3.1423009281469403,0.06704571675496006,1.1143952069178638,0.7357542356757191,0.7205325052615499
eta0.7-b2-l2,A,0.7,2.0,2.0,0.3957213601698462,0.060655659201079695,0.7069166953423405,0.010843634007728297,2.2993136809752284,0.03942937255857129,0.8622189077758365,0.6703730993949004,0.6457599703426459
eta0.7-b2-l2,B,0.7,2.0,2.0,0.48598297972683324,0.07364518576136397,0.6395854013899547,0.008781775047674361,3.0267970626196936,0.0642029945120868,1.1515448535345147,0.728289016771458,0.710562664908096
eta0.7-b3-l1,A,0.7,3.0,1.0,0.42908089317949294,0.06420526206635392,0.7063382486821717,0.010830887666943859,2.2987904379671367,0.03940554662799324,0.8601474351414733,0.6710188871157956,0.6461899873013044
eta0.7-b3-l1,B,0.7,3.0,1.0,0.5188399989368293,0.0795899627450867,0.6381797573549883,0.008602982776216834,3.038601798755616,0.0633024526201486,1.1289460231282376,0.7291559551511163,0.7113307504971931
