beta,lambda_concentration,runs,pyvrp_cost_mean,pyvrp_cost_std,global_risk_mean,global_risk_std,global_cvar90_mean,global_cvar90_std,max_vehicle_risk_mean,max_vehicle_risk_std,max_vehicle_cvar90_mean,max_vehicle_cvar90_std,vehicle_risk_gini_mean,vehicle_risk_gini_std,risk_variance_mean,risk_variance_std,edge_burden_gini_used_mean,edge_burden_gini_used_std,top10_burden_share_mean,top10_burden_share_std,max_edge_burden_mean,max_edge_burden_std,cost_increase_pct,risk_reduction_pct
0.0,0.0,10,134131.5,280.91606100992755,7.046077876267736,0.7028835000840092,0.21170329256644163,0.039077633153835875,2.296920077575487,0.563187796345627,0.40979118429124356,0.13629730106209453,0.19380041801936385,0.08221780883105569,0.3347452843563708,0.267203056902189,0.8721140154755999,0.010800971434457463,0.8874637387840556,0.01700321757690155,1.1419144511222838,0.3033753331959926,0.0,0.0
0.25,0.0,10,141841.0,201.66694214857216,4.900587078681383,0.8342195966149248,0.1450609141600534,0.02518631438391326,1.4829197939048755,0.14591682956210303,0.2681859902416666,0.03992468222103381,0.19299195693979151,0.057160814991473435,0.12285023118520513,0.06513639819014927,0.8585111268309917,0.013069936022189518,0.8689683530303528,0.02031045407639477,0.8243373095989227,0.05805159313644916,0.05747717724770095,0.3044943350416816
0.5,0.0,10,147487.8,558.7239031936973,3.688597254373781,0.17440407252682838,0.10813309928209278,0.005764348399543384,1.2072602743370227,0.06833593663326971,0.21959144055133772,0.06256640053713027,0.21766517784787692,0.03881138103537418,0.08718237348065278,0.024557239242389856,0.8342771347074021,0.006132007686486968,0.8328641871315142,0.008575484609354757,0.6878951579332352,0.0852306168247914,0.09957616219903594,0.4765034790776277
1.0,0.0,10,155735.1,414.72385725658194,2.5178638271809177,0.11862950689248755,0.06682707926889181,0.004916044246329425,0.756261481096044,0.08218672381697317,0.09598460259536902,0.012014344149653465,0.21400745391785972,0.067906305258209,0.042376749417103884,0.026563637196896427,0.7765070044524401,0.010098942516629761,0.7546138915729778,0.011342131762687573,0.38867478966712954,0.042972807482664924,0.16106283758848597,0.6426573944545646
2.0,0.0,10,168146.2,656.6025010951789,2.1692749778811047,0.12735038487504993,0.052435431287525924,0.0047170351911758135,0.6801111454087732,0.06628812630133497,0.08850805307073253,0.011230527034764301,0.24515155333868535,0.048141343769629474,0.038736019226280526,0.013885784717758635,0.753984485846452,0.0099500330036303,0.7188631571663352,0.017596622070430442,0.3561353087425232,0.0,0.2535921837897885,0.6921301444611838
