P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,3,937,375,86,49,43,35,2
2,1,863,294,130,134,34,73,0
3,1,766,416,120,142,27,58,0
4,0,777,364,116,198,30,34,10
5,0,726,430,125,143,53,52,0
