node_id,label,pred_label,S_i,S_i_norm,P_high,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8
0,0,1,2.2113149166107178,0.17304499447345734,0.11236719787120819,0.612193763256073,0.09422611445188522,0.11356142163276672,0.028859570622444153,0.03879184275865555,0.04506894201040268,0.04821253567934036,0.019085723906755447
1,0,1,1.997307300567627,0.14247247576713562,0.08090038597583771,0.6412792801856995,0.1186833381652832,0.10023419559001923,0.025605453178286552,0.03329739347100258,0.033213913440704346,0.03172527253627777,0.01596119999885559
2,0,1,1.6411726474761963,0.0915960893034935,0.06463760137557983,0.7960015535354614,0.06801068037748337,0.03757413104176521,0.014616569504141808,0.01915944740176201,0.02010049670934677,0.0347360335290432,0.009801071137189865
3,0,1,1.4118906259536743,0.0588415190577507,0.041415754705667496,0.8669763207435608,0.04365638643503189,0.028156423941254616,0.009143843315541744,0.010651315562427044,0.011759668588638306,0.02450641430914402,0.005149674601852894
4,0,1,1.2000079154968262,0.028572559356689453,0.015748772770166397,0.929256021976471,0.017094846814870834,0.02765035629272461,0.004960407502949238,0.005289577413350344,0.005154096521437168,0.008360488340258598,0.0022341886069625616
5,0,1,1.1932600736618042,0.027608582749962807,0.01125436369329691,0.9073108434677124,0.04756298288702965,0.02548765018582344,0.0033939359709620476,0.004990123677998781,0.004899580962955952,0.004401755519211292,0.0019530268618837
6,0,1,1.067788004875183,0.009684001095592976,0.004994036629796028,0.9739791750907898,0.0077774119563400745,0.010264665819704533,0.0014842861564829946,0.0015002108411863446,0.0017013173783198,0.0025278388056904078,0.0007648805622011423
7,0,1,1.3182573318481445,0.04546533152461052,0.024497631937265396,0.8836108446121216,0.03291408345103264,0.04261370748281479,0.007241559214890003,0.009122144430875778,0.009516263380646706,0.010548255406320095,0.004433115012943745
8,0,1,1.4289833307266235,0.061283331364393234,0.03230881318449974,0.8348404765129089,0.054642435163259506,0.05839026719331741,0.009534617885947227,0.01028336863964796,0.012273255735635757,0.013792074285447598,0.006243480835109949
9,0,1,1.0010204315185547,0.00014577593537978828,2.068375761155039e-05,0.9993528723716736,0.0003621171636041254,0.00025749116321094334,3.770643616007874e-06,3.0782964586251182e-06,6.2026460909692105e-06,1.2636852261493914e-05,1.8442592590872664e-06
10,0,1,1.0956547260284424,0.013664960861206055,0.0064559984020888805,0.9601914286613464,0.014846871607005596,0.014414784498512745,0.001909627579152584,0.002181355142965913,0.0023848821874707937,0.0028983226511627436,0.0011727935634553432
11,0,1,1.304020881652832,0.04343155398964882,0.023475322872400284,0.866809606552124,0.07018472999334335,0.029432052746415138,0.005814261268824339,0.004283954855054617,0.007538764737546444,0.00885621178895235,0.007080345880240202
