P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,558,437,159,61,38,68,0
2,0,586,363,151,58,38,125,0
3,0,489,406,153,134,57,81,0
4,0,469,442,163,93,58,96,0
5,0,383,514,168,86,68,101,0
