risk_source,customer_set,run_dir,beta,lambda_concentration,seed,pyvrp_cost,routes,common_global_risk,common_global_cvar90,common_global_cvar95,common_max_edge_risk,common_high_risk_edge_hits,common_max_vehicle_risk,common_max_vehicle_cvar90,common_vehicle_risk_gini,common_edge_burden_gini_used,common_top10_burden_share,common_max_edge_burden,load_global_risk,load_cvar90,load_cvar95,load_max_vehicle_risk,load_vehicle_gini,load_edge_burden_gini_used,load_top10_burden_share,load_max_edge_burden,baseline_cost,cost_increase_pct
A_GCN_seed1,A,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed1_A_GCN_seed1,2.0,0.0,0,169742.0,"[[0, 30, 23, 26, 28, 2, 25, 11, 16, 3, 15, 0], [0, 48, 42, 14, 13, 17, 44, 29, 47, 21, 27, 0], [0, 20, 36, 5, 33, 34, 18, 35, 10, 37, 49, 0], [0, 1, 45, 39, 32, 4, 41, 24, 6, 19, 12, 0], [0, 40, 9, 31, 38, 50, 43, 8, 7, 22, 46, 0]]",2.2824616407599283,0.03746287306184316,0.09135039481122624,0.26565452190450767,40.0,0.7422193329319118,0.11370956618575043,0.2990934992970171,0.6646346635421692,0.6437436216826115,0.5313090438090153,1.121580747705201,0.025010210436322337,0.04321341304635468,0.3883136429024748,0.2888869143980701,0.7136590154825224,0.6498334653511905,0.2922199740949584,133997.0,0.2667597035754532
A_GCN_seed1,A,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed1_A_GCN_seed1,3.0,0.0,0,180019.0,"[[0, 49, 30, 23, 26, 28, 2, 25, 11, 16, 42, 0], [0, 13, 17, 44, 29, 4, 41, 24, 6, 19, 12, 0], [0, 1, 46, 22, 5, 33, 34, 18, 35, 10, 37, 0], [0, 27, 21, 47, 32, 39, 45, 15, 3, 14, 48, 0], [0, 20, 43, 8, 7, 36, 50, 38, 31, 9, 40, 0]]",2.084471684389525,0.032956188885853055,0.04669503842422126,0.26565452190450767,39.0,0.8810464578169189,0.11821519561844178,0.33610344011684057,0.6441096752900499,0.6136476692194103,0.5313090438090153,1.0710370179018,0.024081606427616586,0.03908649173672511,0.3946945635737304,0.3233073542292437,0.716273965282658,0.6536121940578473,0.2870199778228758,133997.0,0.34345545049516035
A_GCN_seed2,A,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed2_A_GCN_seed2,0.0,0.0,0,133997.0,"[[0, 14, 42, 41, 1, 45, 11, 15, 3, 16, 48, 0], [0, 18, 32, 4, 29, 19, 6, 24, 40, 20, 44, 0], [0, 27, 35, 5, 36, 28, 26, 23, 30, 12, 49, 0], [0, 46, 22, 7, 8, 43, 33, 34, 2, 25, 39, 0], [0, 17, 13, 10, 37, 50, 38, 31, 9, 47, 21, 0]]",7.13720918898623,0.1863884401265154,0.4006492259232992,0.8497501577930704,41.0,2.0334811143934313,0.3095878763305101,0.10827388002705596,0.8420770203615147,0.8784088853510879,0.8497501577930704,4.39183687596025,0.1542960533829871,0.2763064557848653,1.2867832792126321,0.16342234137000555,0.8887306724564243,0.9101403433636531,0.8422528180124284,133997.0,0.0
A_GCN_seed2,A,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed2_A_GCN_seed2,0.5,0.0,0,149671.0,"[[0, 48, 1, 41, 42, 14, 12, 13, 17, 44, 20, 0], [0, 11, 39, 32, 4, 29, 6, 19, 24, 40, 49, 0], [0, 35, 10, 37, 50, 38, 31, 9, 47, 21, 27, 0], [0, 18, 34, 33, 5, 36, 7, 8, 43, 22, 46, 0], [0, 15, 3, 16, 45, 25, 2, 28, 26, 23, 30, 0]]",4.617484427150748,0.13045375190645486,0.26030160220603454,0.8422528180124284,40.0,1.3105346919491638,0.2640961497196447,0.1954451746215724,0.8156013904518851,0.8282723057564794,0.8422528180124284,2.6960045893318103,0.0862956145101949,0.15938766576736277,0.9581703435809991,0.28864214416847433,0.8723888122152696,0.8594448605963629,0.8422528180124284,133997.0,0.11697276804704583
A_GCN_seed2,A,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed2_A_GCN_seed2,1.0,0.0,0,160437.0,"[[0, 1, 11, 45, 39, 25, 2, 28, 26, 23, 30, 0], [0, 27, 35, 18, 34, 33, 50, 38, 3, 14, 48, 0], [0, 21, 47, 29, 32, 4, 19, 6, 24, 41, 42, 0], [0, 12, 49, 37, 10, 13, 17, 44, 20, 16, 15, 0], [0, 46, 22, 7, 8, 43, 5, 36, 31, 9, 40, 0]]",3.3203073178226745,0.09123353409279032,0.1574407620887678,0.3904537879556458,37.0,1.196242535803597,0.14211652775149616,0.23723814668772203,0.7579429260815904,0.7588430866774237,0.5313090438090153,1.575882465768629,0.04515572297119667,0.08056295945848528,0.4491846771678546,0.17686890938154098,0.8140319982639477,0.7750524461909502,0.2870199778228758,133997.0,0.1973178503996358
A_GCN_seed2,A,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed2_A_GCN_seed2,1.5,0.0,0,168740.0,"[[0, 12, 49, 30, 23, 26, 28, 2, 25, 39, 11, 0], [0, 42, 14, 3, 38, 50, 5, 33, 34, 18, 35, 0], [0, 45, 46, 22, 43, 8, 7, 36, 31, 9, 40, 0], [0, 27, 10, 37, 13, 17, 44, 20, 16, 15, 48, 0], [0, 21, 47, 32, 4, 29, 6, 19, 24, 41, 1, 0]]",2.8851059468469904,0.061978005750246874,0.13844128388337815,0.3734145939377382,34.0,0.8458277342745499,0.0791290319826983,0.19105991651285903,0.7339342512618692,0.7287096853511703,0.5313090438090153,1.4662463214098231,0.040103601409784216,0.06955580654153039,0.41461098786975303,0.12773222291246422,0.8007582486189113,0.7708489916854865,0.2870199778228758,133997.0,0.2592819242221841
A_GCN_seed2,A,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed2_A_GCN_seed2,2.0,0.0,0,176581.0,"[[0, 27, 21, 47, 32, 4, 29, 44, 17, 13, 49, 0], [0, 30, 23, 26, 28, 2, 25, 45, 11, 39, 1, 0], [0, 15, 16, 3, 14, 42, 41, 24, 6, 19, 12, 0], [0, 46, 22, 7, 8, 43, 50, 38, 31, 9, 40, 0], [0, 37, 10, 35, 18, 34, 33, 36, 5, 20, 48, 0]]",3.007205762235302,0.05468520769373197,0.13483227468843012,0.3904537879556458,41.0,0.7710763173813755,0.09418384999941198,0.1845768873400513,0.7411160054873673,0.7355559715099385,0.5313090438090153,1.641607367632512,0.0465920480541263,0.08714635673908519,0.5230337247823758,0.2438899201573541,0.8144649572593947,0.7948764161725403,0.2922199740949584,133997.0,0.3177981596602909
A_GCN_seed2,A,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed2_A_GCN_seed2,3.0,0.0,0,190228.0,"[[0, 49, 37, 10, 35, 18, 34, 33, 5, 36, 20, 0], [0, 40, 9, 31, 38, 50, 43, 8, 7, 22, 46, 0], [0, 27, 21, 47, 32, 39, 15, 16, 3, 14, 42, 0], [0, 1, 45, 11, 25, 2, 28, 26, 23, 30, 48, 0], [0, 12, 19, 6, 24, 41, 4, 29, 44, 17, 13, 0]]",2.045337997055017,0.03467101443423192,0.04779525715339298,0.26565452190450767,36.0,0.7614923857269444,0.0942011733667149,0.32787407795468226,0.6447771872581727,0.6163544952096885,0.5313090438090153,1.1381297455493897,0.025230123530581648,0.04480984142549236,0.41724809411529795,0.33050729415562263,0.7509078667666804,0.6842197409885172,0.2922199740949584,133997.0,0.41964372336694106
A_GCN_seed3,A,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed3_A_GCN_seed3,0.0,0.0,0,133997.0,"[[0, 14, 42, 41, 1, 45, 11, 15, 3, 16, 48, 0], [0, 18, 32, 4, 29, 19, 6, 24, 40, 20, 44, 0], [0, 27, 35, 5, 36, 28, 26, 23, 30, 12, 49, 0], [0, 46, 22, 7, 8, 43, 33, 34, 2, 25, 39, 0], [0, 17, 13, 10, 37, 50, 38, 31, 9, 47, 21, 0]]",7.13720918898623,0.1863884401265154,0.4006492259232992,0.8497501577930704,41.0,2.0334811143934313,0.3095878763305101,0.10827388002705596,0.8420770203615147,0.8784088853510879,0.8497501577930704,4.39183687596025,0.1542960533829871,0.2763064557848653,1.2867832792126321,0.16342234137000555,0.8887306724564243,0.9101403433636531,0.8422528180124284,133997.0,0.0
A_GCN_seed3,A,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed3_A_GCN_seed3,0.5,0.0,0,149360.0,"[[0, 27, 21, 47, 9, 31, 36, 34, 33, 40, 49, 0], [0, 1, 41, 24, 19, 6, 29, 4, 32, 39, 11, 0], [0, 30, 23, 26, 28, 2, 25, 16, 3, 14, 42, 0], [0, 38, 50, 5, 43, 8, 7, 22, 46, 45, 15, 0], [0, 12, 18, 35, 10, 37, 13, 17, 44, 20, 48, 0]]",4.258890156708832,0.09990584447338112,0.23708627188795212,0.8422528180124284,35.0,1.15501639596432,0.16701747182669424,0.13835288307155125,0.8044850453286996,0.8164216455228362,0.8422528180124284,2.8189218423425326,0.09074158111898487,0.13983912192238576,0.8695916152752311,0.1640708113576912,0.8797345244551884,0.8704181820529946,0.7580275362111856,133997.0,0.11465182056314693
A_GCN_seed3,A,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed3_A_GCN_seed3,1.0,0.0,0,157136.0,"[[0, 15, 16, 45, 11, 25, 2, 28, 26, 23, 30, 0], [0, 27, 35, 18, 34, 33, 43, 8, 7, 22, 46, 0], [0, 14, 3, 38, 50, 5, 36, 31, 9, 47, 21, 0], [0, 42, 41, 24, 6, 19, 29, 4, 32, 39, 1, 0], [0, 49, 12, 40, 10, 37, 13, 17, 44, 20, 48, 0]]",2.9746409353293624,0.06825144270266248,0.08819441393824669,0.3734145939377382,32.0,0.9640874905933424,0.09713497855578082,0.20431497271667953,0.7412780350951653,0.734647305934362,0.5313090438090153,1.6447519425025354,0.0460502890299951,0.08032571771410128,0.6576926868226323,0.3015349453568923,0.8229845565669012,0.7881863780667228,0.33607313454396437,133997.0,0.17268297051426523
