P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,427,521,229,54,58,20,12
2,0,471,399,208,84,57,94,8
3,0,382,423,273,99,69,72,2
4,0,366,451,231,116,58,71,28
5,0,320,489,275,80,64,85,7
