P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,649,566,201,47,18,49,0
2,0,631,470,156,122,66,84,0
3,0,537,504,217,139,59,74,0
4,0,539,500,189,163,88,50,0
5,0,494,539,215,108,95,78,0
