group,src,dst,method,path,hop,mean_risk,max_risk,cvar80,cvar90,cvar95,re,hhi,gini,total_risk,hop_increase_pct,risk_reduction_pct,cvar90_reduction_pct
high_high,3142,1367,Hop-shortest,3142 3143 4625 1391 1392 3680 4429 3636 4787 3477 5018 3946 1368 1367,13,0.033308589179516554,0.42711034417152405,0.14283379087767875,0.21398185574798845,0.42711034417152405,0.032846501616474524,0.9729449922078607,0.9106734839477539,0.4330116593337152,0.0,0.0,0.0
high_high,3142,1367,Mean-risk-raw,3142 3143 4625 3379 2386 3535 3712 3837 3740 3777 5018 3946 1368 1367,13,0.0005159741894413645,0.0008566392934881151,0.0007503132413451871,0.0008566392934881151,0.0008566392934881151,5.8006777320630274e-05,0.08346334324187084,0.1343986900113947,0.006707664462737739,0.0,0.984509275168148,0.9959966732156347
high_high,3142,1367,Mean-risk-floor,3142 3143 4625 3379 2386 3535 3712 3837 3740 3777 5018 3946 1368 1367,13,0.0005159741894413645,0.0008566392934881151,0.0007503132413451871,0.0008566392934881151,0.0008566392934881151,5.8006777320630274e-05,0.08346334324187084,0.1343986900113947,0.006707664462737739,0.0,0.984509275168148,0.9959966732156347
high_high,3142,1367,CVaR-risk,3142 3143 4625 3379 2386 3535 3712 4295 3566 3777 5018 3946 1368 1367,13,0.0005303418953329898,0.0008566392934881151,0.0007003443024586886,0.0008566392934881151,0.0008566392934881151,6.494504990629278e-05,0.08291086071835442,0.1363062419807879,0.006894444639328867,0.0,0.9840779237886538,0.9959966732156347
high_high,3142,1367,CVaR+Concentration,3142 3143 4625 3379 2386 3535 3712 4295 3566 3777 5018 3946 1368 1367,13,0.0005303418953329898,0.0008566392934881151,0.0007003443024586886,0.0008566392934881151,0.0008566392934881151,6.494504990629278e-05,0.08291086071835442,0.1363062419807879,0.006894444639328867,0.0,0.9840779237886538,0.9959966732156347
high_normal,3414,3516,Hop-shortest,3414 4295 3566 4094 4733 3846 3516,6,0.0005961070467795556,0.0007758514839224517,0.0007758514839224517,0.0007758514839224517,0.0007758514839224517,0.00010733323870226741,0.1747021276393318,0.11541048999090053,0.0035766422806773335,0.0,0.0,0.0
high_normal,3414,3516,Mean-risk-raw,3414 4295 3566 4094 4733 3846 3516,6,0.0005961070467795556,0.0007758514839224517,0.0007758514839224517,0.0007758514839224517,0.0007758514839224517,0.00010733323870226741,0.1747021276393318,0.11541048999090053,0.0035766422806773335,0.0,0.0,0.0
high_normal,3414,3516,Mean-risk-floor,3414 4295 3566 4094 4733 3846 3516,6,0.0005961070467795556,0.0007758514839224517,0.0007758514839224517,0.0007758514839224517,0.0007758514839224517,0.00010733323870226741,0.1747021276393318,0.11541048999090053,0.0035766422806773335,0.0,0.0,0.0
high_normal,3414,3516,CVaR-risk,3414 4295 3566 4094 4733 3846 3516,6,0.0005961070467795556,0.0007758514839224517,0.0007758514839224517,0.0007758514839224517,0.0007758514839224517,0.00010733323870226741,0.1747021276393318,0.11541048999090053,0.0035766422806773335,0.0,0.0,0.0
high_normal,3414,3516,CVaR+Concentration,3414 4295 3566 4094 4101 4733 3846 3516,7,0.0005418234088990305,0.0007758514839224517,0.0007758514839224517,0.0007758514839224517,0.0007758514839224517,9.199991888765777e-05,0.15860644013440034,0.17916090415834773,0.0037927638622932136,0.16666666666663887,-0.06042583087580284,0.0
normal_high,220,858,Hop-shortest,220 3477 4203 3514 1298 3643 858,6,0.0005356705320688585,0.0008533673244528472,0.0008533673244528472,0.0008533673244528472,0.0008533673244528472,0.00011813892827679713,0.20402886129471612,0.25434505402111274,0.0032140231924131513,0.0,0.0,0.0
normal_high,220,858,Mean-risk-raw,220 3477 4203 3514 1298 3643 858,6,0.0005356705320688585,0.0008533673244528472,0.0008533673244528472,0.0008533673244528472,0.0008533673244528472,0.00011813892827679713,0.20402886129471612,0.25434505402111274,0.0032140231924131513,0.0,0.0,0.0
normal_high,220,858,Mean-risk-floor,220 3477 4203 3514 1298 3643 858,6,0.0005356705320688585,0.0008533673244528472,0.0008533673244528472,0.0008533673244528472,0.0008533673244528472,0.00011813892827679713,0.20402886129471612,0.25434505402111274,0.0032140231924131513,0.0,0.0,0.0
normal_high,220,858,CVaR-risk,220 3477 4203 3514 1298 3643 858,6,0.0005356705320688585,0.0008533673244528472,0.0008533673244528472,0.0008533673244528472,0.0008533673244528472,0.00011813892827679713,0.20402886129471612,0.25434505402111274,0.0032140231924131513,0.0,0.0,0.0
normal_high,220,858,CVaR+Concentration,220 3477 4203 3514 1298 3643 858,6,0.0005356705320688585,0.0008533673244528472,0.0008533673244528472,0.0008533673244528472,0.0008533673244528472,0.00011813892827679713,0.20402886129471612,0.25434505402111274,0.0032140231924131513,0.0,0.0,0.0
