model,split,seed,epochs,best_epoch,experiment_tag,alpha_ord,alpha_hr,alpha_topk,lambda_nll,lambda_var,gamma_unc,topk_frac,stage1_epochs,checkpoint_selection,gate_normalized,feature_standardization,edge_normalization,eval_split,macro_f1,weighted_f1,mae,qwk,recall_6_8,precision_6_8,pr_auc_high,high_fn_rate,brier,ece
gcn_teg_concat,B,0,50,50,st_v2_std_3seed,0.3,0.5,0.1,0.0,0.0,0.5,0.2,0,best,True,True,shared_train,data_2020_train,0.3016568774441632,0.6625643489750004,0.9862083078675552,0.5338931622054557,0.55,0.6666666666666666,0.6746460512672625,0.45,0.39001402258872986,0.10280462790076092
gcn_teg_concat,B,0,50,50,st_v2_std_3seed,0.3,0.5,0.1,0.0,0.0,0.5,0.2,0,best,True,True,shared_train,data_2021_train,0.34910162601626016,0.6378124538063563,1.0472159196853807,0.4293518309277946,0.45,0.8181818181818182,0.7823542178518057,0.55,0.42007020115852356,0.09019579365849495
gcn_teg_concat,B,0,50,50,st_v2_std_3seed,0.3,0.5,0.1,0.0,0.0,0.5,0.2,0,best,True,True,shared_train,data_2021_val,0.18990384615384615,0.5448717948717949,1.519188127237545,0.39049924752993515,0.4,0.4,0.32857142857142857,0.6,0.6380617022514343,0.296716124481625
gcn_teg_concat,B,0,50,50,st_v2_std_3seed,0.3,0.5,0.1,0.0,0.0,0.5,0.2,0,best,True,True,shared_train,data_2021_test,0.23850203706891604,0.5996455226098883,1.3619552950336626,0.35597821687059106,0.38461538461538464,0.45454545454545453,0.34323719541990433,0.6153846153846154,0.49188533425331116,0.11829586608989823
gcn_teg_concat,B,1,50,40,st_v2_std_3seed,0.3,0.5,0.1,0.0,0.0,0.5,0.2,0,best,True,True,shared_train,data_2020_train,0.1995953423894826,0.5654955622921485,1.284736806532666,0.22887807719845732,0.225,0.5,0.49225709066127327,0.775,0.5039450526237488,0.10628122105518788
gcn_teg_concat,B,1,50,40,st_v2_std_3seed,0.3,0.5,0.1,0.0,0.0,0.5,0.2,0,best,True,True,shared_train,data_2021_train,0.2567365458799722,0.56043495570388,1.2790757329162157,0.4265294848777793,0.45,0.5,0.4602756433887688,0.55,0.5206118226051331,0.09358790042725476
gcn_teg_concat,B,1,50,40,st_v2_std_3seed,0.3,0.5,0.1,0.0,0.0,0.5,0.2,0,best,True,True,shared_train,data_2021_val,0.1966991341991342,0.5441558441558442,1.468889305172612,0.5307612095933263,0.6,0.6,0.4859307359307359,0.4,0.5784609317779541,0.18508610791630212
gcn_teg_concat,B,1,50,40,st_v2_std_3seed,0.3,0.5,0.1,0.0,0.0,0.5,0.2,0,best,True,True,shared_train,data_2021_test,0.1519280798925814,0.4864793040774914,1.506787679059827,0.11884178553314684,0.15384615384615385,0.23529411764705882,0.2629044109607951,0.8461538461538461,0.6014188528060913,0.07957992333549632
gcn_teg_concat,B,2,50,1,st_v2_std_3seed,0.3,0.5,0.1,0.0,0.0,0.5,0.2,0,best,True,True,shared_train,data_2020_train,0.08963712226657897,0.11944905893125236,2.8467052255774936,0.022530511669043185,0.225,0.11392405063291139,0.16766579625717992,0.775,0.8686670064926147,0.013622732428491543
gcn_teg_concat,B,2,50,1,st_v2_std_3seed,0.3,0.5,0.1,0.0,0.0,0.5,0.2,0,best,True,True,shared_train,data_2021_train,0.08794033756763114,0.10003104216120272,2.8105434353188956,0.17331304192618058,0.25,0.29411764705882354,0.36879769329538803,0.75,0.8758136630058289,0.022222214463082222
gcn_teg_concat,B,2,50,1,st_v2_std_3seed,0.3,0.5,0.1,0.0,0.0,0.5,0.2,0,best,True,True,shared_train,data_2021_val,0.08923160173160173,0.08406926406926406,2.9602776767042025,0.23524150268336308,0.4,0.25,0.21969696969696967,0.6,0.9171913862228394,0.04900542431407505
gcn_teg_concat,B,2,50,1,st_v2_std_3seed,0.3,0.5,0.1,0.0,0.0,0.5,0.2,0,best,True,True,shared_train,data_2021_test,0.0675562494995596,0.1042683471364711,2.8518057672603216,0.15407483441143432,0.19230769230769232,0.14705882352941177,0.14588346606438551,0.8076923076923077,0.8829390406608582,0.018762291820199648
