split,macro_f1,weighted_f1,mae,qwk,recall_6_8,precision_6_8,pr_auc_high,high_fn_rate,brier,ece
data_2020_train,0.3767368140315814,0.6844075335045453,0.921449631011112,0.641429510753381,0.675,0.6428571428571429,0.7651798213123603,0.325,0.3872884511947632,0.09481465290156069
data_2021_train,0.3952805743171488,0.6880482697498754,0.7346096855966248,0.6229483827528615,0.65,0.7222222222222222,0.8503076369480542,0.35,0.3250614404678345,0.08853547825393351
data_2021_val,0.24305555555555555,0.6185185185185185,1.2767242963310201,0.564688260625351,0.6,0.5,0.497816091954023,0.4,0.47959089279174805,0.16414462592866685
data_2021_test,0.24555329355001945,0.5839529079313327,1.330464155732461,0.2644072424444104,0.23076923076923078,0.35294117647058826,0.32508493655442705,0.7692307692307693,0.5295990705490112,0.09994782802757916
