P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,836,302,125,125,48,20,74
2,0,728,262,134,72,71,72,190
3,0,628,269,193,133,91,70,146
4,0,609,255,158,128,127,77,175
5,1,691,306,136,87,81,56,171
