P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,304,871,266,38,11,40,0
2,0,315,731,239,100,60,84,0
3,0,243,728,339,113,37,70,0
4,0,213,774,248,189,38,67,0
5,0,252,803,219,123,56,76,0
