label,seed,risk_source,risk_dir,method,alpha,rho,tail_quantile,tail_sharpness,hard_tail,high_risk_threshold,year,clip
Stable-Tail-TailOnly-a020,6,Stable-Tail-TailOnly-a020_seed6,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha020_q090_splitB_seed6_floor_0p01,tail_only_correction,0.2,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-TailOnly-a020,7,Stable-Tail-TailOnly-a020_seed7,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha020_q090_splitB_seed7_floor_0p01,tail_only_correction,0.2,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-TailOnly-a020,8,Stable-Tail-TailOnly-a020_seed8,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha020_q090_splitB_seed8_floor_0p01,tail_only_correction,0.2,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-TailOnly-a020,9,Stable-Tail-TailOnly-a020_seed9,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha020_q090_splitB_seed9_floor_0p01,tail_only_correction,0.2,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-TailOnly-a030,0,Stable-Tail-TailOnly-a030_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha030_q090_splitB_seed0_floor_0p01,tail_only_correction,0.3,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-TailOnly-a030,1,Stable-Tail-TailOnly-a030_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha030_q090_splitB_seed1_floor_0p01,tail_only_correction,0.3,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-TailOnly-a030,2,Stable-Tail-TailOnly-a030_seed2,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha030_q090_splitB_seed2_floor_0p01,tail_only_correction,0.3,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-TailOnly-a030,3,Stable-Tail-TailOnly-a030_seed3,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha030_q090_splitB_seed3_floor_0p01,tail_only_correction,0.3,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-TailOnly-a030,4,Stable-Tail-TailOnly-a030_seed4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha030_q090_splitB_seed4_floor_0p01,tail_only_correction,0.3,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-TailOnly-a030,5,Stable-Tail-TailOnly-a030_seed5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha030_q090_splitB_seed5_floor_0p01,tail_only_correction,0.3,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-TailOnly-a030,6,Stable-Tail-TailOnly-a030_seed6,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha030_q090_splitB_seed6_floor_0p01,tail_only_correction,0.3,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-TailOnly-a030,7,Stable-Tail-TailOnly-a030_seed7,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha030_q090_splitB_seed7_floor_0p01,tail_only_correction,0.3,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-TailOnly-a030,8,Stable-Tail-TailOnly-a030_seed8,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha030_q090_splitB_seed8_floor_0p01,tail_only_correction,0.3,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-TailOnly-a030,9,Stable-Tail-TailOnly-a030_seed9,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_tail_only_alpha030_q090_splitB_seed9_floor_0p01,tail_only_correction,0.3,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-NodeCalib-a005,0,Stable-Tail-NodeCalib-a005_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_node_calib_alpha005_splitB_seed0_floor_0p01,node_calibration,0.05,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-NodeCalib-a005,1,Stable-Tail-NodeCalib-a005_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_node_calib_alpha005_splitB_seed1_floor_0p01,node_calibration,0.05,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-NodeCalib-a005,2,Stable-Tail-NodeCalib-a005_seed2,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_node_calib_alpha005_splitB_seed2_floor_0p01,node_calibration,0.05,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-NodeCalib-a005,3,Stable-Tail-NodeCalib-a005_seed3,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_node_calib_alpha005_splitB_seed3_floor_0p01,node_calibration,0.05,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-NodeCalib-a005,4,Stable-Tail-NodeCalib-a005_seed4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_node_calib_alpha005_splitB_seed4_floor_0p01,node_calibration,0.05,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-NodeCalib-a005,5,Stable-Tail-NodeCalib-a005_seed5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_node_calib_alpha005_splitB_seed5_floor_0p01,node_calibration,0.05,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-NodeCalib-a005,6,Stable-Tail-NodeCalib-a005_seed6,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_node_calib_alpha005_splitB_seed6_floor_0p01,node_calibration,0.05,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-NodeCalib-a005,7,Stable-Tail-NodeCalib-a005_seed7,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_node_calib_alpha005_splitB_seed7_floor_0p01,node_calibration,0.05,0.2,0.9,20.0,False,0.5,data_2021,True
Stable-Tail-NodeCalib-a005,8,Stable-Tail-NodeCalib-a005_seed8,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\stable_tail_node_calib_alpha005_splitB_seed8_floor_0p01,node_calibration,0.05,0.2,0.9,20.0,False,0.5,data_2021,True
