P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,831,333,126,149,25,58,8
2,0,763,278,125,111,77,93,82
3,0,689,319,180,124,76,96,46
4,0,659,308,175,156,85,72,74
5,0,689,372,162,92,55,111,48
