P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,771,221,130,69,67,63,0
2,0,666,230,156,88,56,125,0
3,0,571,286,160,110,114,79,0
4,0,631,252,162,72,108,96,0
5,0,620,307,131,79,96,87,0
