P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,101,576,513,40,15,63,13
2,0,180,632,288,33,55,125,8
3,0,153,622,356,70,48,69,2
4,0,169,569,358,42,75,80,28
5,0,179,549,387,54,41,102,8
