set,seeds,seed_count,customer_count,high_risk_customer_ratio_mean,high_risk_customer_ratio_std,high_risk_customer_ratio_display,high_exposure_customer_ratio_mean,high_exposure_customer_ratio_std,high_exposure_customer_ratio_display,mean_customer_risk_S_norm_mean,mean_customer_risk_S_norm_std,mean_customer_risk_S_norm_display,risk_p90_S_norm_mean,risk_p90_S_norm_std,risk_p90_S_norm_display,risk_p95_S_norm_mean,risk_p95_S_norm_std,risk_p95_S_norm_display,mean_customer_exposure_norm_mean,mean_customer_exposure_norm_std,mean_customer_exposure_norm_display,Q1_count_display,Q2_count_display,Q3_count_display,Q4_count_display,Q5_count_display,Q1_Q5_distribution
A,"0,1,2,3,4,5,6,7,8,9",10,50,0.41200000000000003,0.04825856285561029,41.2% +/- 4.8%,0.4,0.0,40.0% +/- 0.0%,0.19836569585988764,0.020432524938984988,0.198366 +/- 0.020433,0.45451581567525867,0.054195037916437164,0.454516 +/- 0.054195,0.5777365182340144,0.09742360789249405,0.577737 +/- 0.097424,0.013132673923027091,0.0,0.013133 +/- 0.000000,5.800000 +/- 1.398412,7.200000 +/- 1.398412,7.600000 +/- 2.065591,8.800000 +/- 1.932184,20.600000 +/- 2.412928,Q1:5.8 +/- 1.4 / Q2:7.2 +/- 1.4 / Q3:7.6 +/- 2.1 / Q4:8.8 +/- 1.9 / Q5:20.6 +/- 2.4
B,"0,1,2,3,4,5,6,7,8,9",10,50,0.3,0.04988876515698588,30.0% +/- 5.0%,0.36,0.0,36.0% +/- 0.0%,0.1638690861731811,0.015736464866236175,0.163869 +/- 0.015736,0.3763822439312936,0.04921715385652849,0.376382 +/- 0.049217,0.5580255387723445,0.09266651491472357,0.558026 +/- 0.092667,0.00944158470538256,0.0,0.009442 +/- 0.000000,8.900000 +/- 1.197219,7.100000 +/- 1.595131,9.300000 +/- 2.311805,9.700000 +/- 2.496664,15.000000 +/- 2.494438,Q1:8.9 +/- 1.2 / Q2:7.1 +/- 1.6 / Q3:9.3 +/- 2.3 / Q4:9.7 +/- 2.5 / Q5:15.0 +/- 2.5
