P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,85,817,539,36,12,41,0
2,0,123,796,356,109,59,86,0
3,0,103,756,444,115,42,70,0
4,0,75,734,399,208,37,76,0
5,0,142,792,331,121,67,74,2
