P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,125,656,378,70,34,33,25
2,0,150,588,314,93,54,48,74
3,0,123,558,405,108,52,44,30
4,0,117,541,403,94,79,40,47
5,0,154,605,324,89,51,64,33
