model,customer_set,model_seed_runs,max_budget,common_risk_aubrc_mean,common_risk_aubrc_std,cvar90_aubrc_mean,cvar90_aubrc_std,cvar95_aubrc_mean,cvar95_aubrc_std,load_risk_aubrc_mean,load_risk_aubrc_std,load_cvar90_aubrc_mean,load_cvar90_aubrc_std,load_cvar95_aubrc_mean,load_cvar95_aubrc_std,max_vehicle_risk_aubrc_mean,max_vehicle_risk_aubrc_std,max_vehicle_cvar90_aubrc_mean,max_vehicle_cvar90_aubrc_std
GAT,A,10,0.4,4.410481760212004,0.0918700212482973,0.11950589267963618,0.0028212593890378952,0.2071027644717746,0.007907857933218887,2.2950088937572377,0.03236126728762688,0.07160002498124644,0.0010086139834367595,0.12649669721340762,0.002770223127478422,1.3972631163576212,0.02262702090041071,0.2101953539500771,0.0059862596438882325
GAT,B,10,0.4,5.928457280087882,0.16014221656229388,0.15357635314145893,0.005448941522141041,0.29014733167294077,0.009475514296827534,2.9360740300912593,0.09142603210262394,0.08634332667132602,0.003218509610203728,0.1529613454765442,0.0064817984863858565,1.9171276201881209,0.06416684276386392,0.2737465347676264,0.015455580312778758
GCN,A,10,0.4,4.314241425413181,0.13271454368244573,0.11625685002625137,0.004889731189854286,0.20162430134109935,0.007910802618141536,2.2577937531513346,0.06298751697579622,0.0699983238809875,0.0024282258868200996,0.12423525357719387,0.005074806124683767,1.368949452274879,0.052228249966296825,0.20344390857117536,0.012915625765072037
GCN,B,10,0.4,5.652285804220507,0.2064904613583634,0.14414751416536978,0.007737363891277629,0.2724902514027605,0.0163488559474359,2.772042441214282,0.1102714260340105,0.08042446400116296,0.003723516931161047,0.1428435961709977,0.007398102335526489,1.8761470755580258,0.07346405989477568,0.25596284721213264,0.013236927449242934
Gradformer-adapted,A,10,0.4,4.536138397513158,0.1258849536785271,0.12136699766764272,0.004044425004917753,0.21719883088473863,0.012139317567315693,2.3442373687950075,0.0930590802131856,0.07298892220538114,0.0033523075807988497,0.12828523270002926,0.006693168917864479,1.4070469781204562,0.0645844576125776,0.2111358043315627,0.014398183482704482
Gradformer-adapted,B,10,0.4,5.796254043065046,0.27171596876169285,0.1492245802730199,0.007643649724997139,0.2807927153285843,0.01818006997720661,2.863085565061863,0.12926795755061815,0.08349754977730445,0.004765330130886627,0.14785339346996762,0.009254891518490556,1.8759214768976769,0.09874915575279289,0.2632709972816644,0.01666922304856249
GraphSAGE,A,10,0.4,4.262517443383452,0.10502383448405674,0.11366236796579063,0.0035784794361289262,0.19628551052715018,0.008314088666350469,2.2028701284457135,0.08129425687415527,0.06801733212108602,0.0031405784953973505,0.12046116285177629,0.005647919830986691,1.3669494207829516,0.0392784762128839,0.1997420427241546,0.008022862112856742
GraphSAGE,B,10,0.4,5.569925421524492,0.2877597535139003,0.1422035100669591,0.008944962641196253,0.26724275308736867,0.0198417208718766,2.80223959834463,0.1767940553734841,0.0812264518803095,0.006360445201863671,0.14373388748329247,0.011678687140048155,1.8297667385711485,0.09963194176370042,0.25128746175822203,0.0153699958079885
GraphSAGE-TEG-Concat,A,10,0.4,4.293028201576307,0.13552782536073424,0.1159464062696767,0.005221397439213992,0.19925094386840986,0.008104124961506795,2.2206564999967027,0.08222542217625936,0.06862114322845123,0.003146029942040206,0.12114406657648491,0.005995397209312879,1.3728912903551227,0.05441072899867316,0.20146500776832887,0.009396446884170174
GraphSAGE-TEG-Concat,B,10,0.4,5.598018220659906,0.14506817053280383,0.14227057179620847,0.0056319774751124605,0.26789182517567334,0.012148955653978277,2.7951427357235317,0.05286559199433416,0.08089851535185318,0.0016320142591679154,0.14299426974588275,0.0037425065845567104,1.8423685437674535,0.0781892597588646,0.25160546990095045,0.009101742586651867
