customer_set,budget,metric,baseline,comparison,baseline_minus_stable_mean,relative_reduction,bootstrap_ci_low,bootstrap_ci_high,effect_size_dz,wilcoxon_p,holm_p,significant_0p05
A,0.1,common_global_risk_mean,GraphSAGE,Stable-Tail GNN,0.11181136470330869,0.020452396221003324,-0.42680064695630027,0.6294108422960952,0.12556586517118845,0.4921875,0.4921875,False
A,0.1,common_global_risk_mean,TEG-only,Stable-Tail GNN,0.2146730784688649,0.0385425424556481,-0.12064696319149608,0.5345573152401941,0.38847187763666363,0.232421875,0.46484375,False
A,0.1,common_global_risk_mean,Stable-Tail w/o Tail Loss,Stable-Tail GNN,0.4196552738097744,0.07267070412298085,0.1378074730809297,0.7517933847739973,0.8052926478711189,0.01953125,0.05859375,False
A,0.1,common_global_cvar90_mean,GraphSAGE,Stable-Tail GNN,0.0018102451998272318,0.011290086896109447,-0.015676605901172806,0.018432195979511096,0.06303415423325066,0.4921875,0.984375,False
A,0.1,common_global_cvar90_mean,TEG-only,Stable-Tail GNN,0.004143455285831823,0.025471138287364796,-0.005617983211988645,0.013165185091699899,0.260061581812024,0.4921875,0.984375,False
A,0.1,common_global_cvar90_mean,Stable-Tail w/o Tail Loss,Stable-Tail GNN,0.012583080666325974,0.07353702248877168,0.0037548866132609483,0.022032034462292113,0.8221123397209132,0.01953125,0.05859375,False
A,0.1,common_global_cvar95_mean,GraphSAGE,Stable-Tail GNN,0.0063831905469941275,0.020402302793687977,-0.031648182460815896,0.042277693879804984,0.10240253169434727,0.4921875,0.4921875,False
A,0.1,common_global_cvar95_mean,TEG-only,Stable-Tail GNN,0.015062119515542044,0.04684294388372244,-0.007401602737043447,0.03566222618787334,0.4111329511423006,0.232421875,0.46484375,False
A,0.1,common_global_cvar95_mean,Stable-Tail w/o Tail Loss,Stable-Tail GNN,0.030150250579028877,0.0895640921788872,0.010272292082335798,0.053004418394190234,0.8370020246535774,0.01953125,0.05859375,False
A,0.15,common_global_risk_mean,GraphSAGE,Stable-Tail GNN,0.04378819418946609,0.009974976233325421,-0.0641923643137655,0.14984039926930542,0.24363777445932042,0.431640625,1.0,False
A,0.15,common_global_risk_mean,TEG-only,Stable-Tail GNN,0.017874903488687276,0.004096092957571611,-0.06102288435930778,0.0990869144439596,0.13433019187157164,0.76953125,1.0,False
A,0.15,common_global_risk_mean,Stable-Tail w/o Tail Loss,Stable-Tail GNN,0.03695506823914929,0.008431510553185624,-0.0870195047301836,0.14385056507634955,0.19005027143656794,0.556640625,1.0,False
A,0.15,common_global_cvar90_mean,GraphSAGE,Stable-Tail GNN,0.0016052574920142003,0.013078439238473322,-0.004287328615783425,0.006924811758149686,0.16985880429438077,0.4921875,0.984375,False
A,0.15,common_global_cvar90_mean,TEG-only,Stable-Tail GNN,0.001261778414252361,0.010308876697185814,-0.0032843349509022735,0.006147644623691483,0.161652376372105,0.6953125,0.984375,False
A,0.15,common_global_cvar90_mean,Stable-Tail w/o Tail Loss,Stable-Tail GNN,0.0020582415891927776,0.01670735560583263,-0.005348537233025909,0.007837937633672592,0.18315099511907318,0.275390625,0.826171875,False
A,0.15,common_global_cvar95_mean,GraphSAGE,Stable-Tail GNN,0.007686607644577337,0.03314903766855956,-0.005489353557407031,0.018953984011643252,0.3725172000108972,0.431640625,1.0,False
A,0.15,common_global_cvar95_mean,TEG-only,Stable-Tail GNN,0.004545891361716689,0.019873657108778857,-0.007496195997494067,0.016993601072618023,0.22023419367856062,0.6953125,1.0,False
A,0.15,common_global_cvar95_mean,Stable-Tail w/o Tail Loss,Stable-Tail GNN,0.003051669952240069,0.01342896677422849,-0.01147894082094415,0.01569174957230211,0.13338010180361984,0.556640625,1.0,False
A,0.2,common_global_risk_mean,GraphSAGE,Stable-Tail GNN,0.08332101792309135,0.026121653834776597,-0.10714754240985791,0.35678281441149884,0.20906436665933156,0.845703125,0.984375,False
A,0.2,common_global_risk_mean,TEG-only,Stable-Tail GNN,0.2504027279511615,0.07459540890446788,-0.03829563446822103,0.6066509307190291,0.4571095362425507,0.4921875,0.984375,False
A,0.2,common_global_risk_mean,Stable-Tail w/o Tail Loss,Stable-Tail GNN,0.21604410026298204,0.06502548185455788,0.041446862839431955,0.47521029096273065,0.564243306966429,0.01953125,0.05859375,False
