customer_set,metric,target_model,reference_model,purpose,reference_minus_target_mean,relative_improvement,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,effect_size_dz,holm_p,significant_0p05
A,common_risk_aubrc,SGFormer-TEG-Gate,SGFormer-TEG-Concat,Gate vs concat,0.0041259479828984705,0.0009711526555126342,-0.07075916065348999,0.08626208009927598,0.845703125,0.031010666998326882,1.0,False
A,common_risk_aubrc,SGFormer-TEG-Gate,SGFormer-adapted,TEG gated enhancement over SGFormer,0.08361545184076916,0.01931967114938934,-0.00435214412293263,0.1736455493075018,0.130859375,0.5463339974545589,0.78515625,False
A,common_risk_aubrc,SGFormer-TEG-Gate,Stable-Tail GNN,Gate vs current main model,-0.022243511829227014,-0.00526830695318558,-0.09712628558033075,0.050368513178330195,0.6953125,-0.17622697808208887,1.0,False
A,common_risk_aubrc,GraphSAGE-TEG-Gate,GraphSAGE-TEG-Concat,Gate vs concat,0.07943094890405486,0.018502312394517006,-0.014121844806971144,0.16788963045674946,0.130859375,0.5133564399506503,0.78515625,False
A,common_risk_aubrc,GraphSAGE-TEG-Gate,GraphSAGE,TEG gated enhancement over GraphSAGE,0.04892019071119913,0.011476830619690404,-0.0019213694028684804,0.10956504465904102,0.16015625,0.51902240857579,0.78515625,False
A,common_risk_aubrc,GraphSAGE-TEG-Gate,Stable-Tail GNN,Gate vs current main model,0.008539389493555215,0.0020225279798554282,-0.05899188546392129,0.07247027625081824,0.845703125,0.07660840819683012,1.0,False
A,cvar90_aubrc,SGFormer-TEG-Gate,SGFormer-TEG-Concat,Gate vs concat,0.0005708371229026926,0.005107126803478942,-0.002091915166809846,0.0034788647763393005,0.845703125,0.12025052187543595,1.0,False
A,cvar90_aubrc,SGFormer-TEG-Gate,SGFormer-adapted,TEG gated enhancement over SGFormer,0.004237139387521216,0.03670458814949723,0.0010943846943632972,0.007433526095014273,0.064453125,0.7751407611950347,0.29296875,False
A,cvar90_aubrc,SGFormer-TEG-Gate,Stable-Tail GNN,Gate vs current main model,0.00037462632193251133,0.003357575375254443,-0.002617686383544948,0.0033505013588244177,0.845703125,0.07372869412094804,1.0,False
A,cvar90_aubrc,GraphSAGE-TEG-Gate,GraphSAGE-TEG-Concat,Gate vs concat,0.004665605594855192,0.040239329056593116,0.0010491178867210046,0.008119264816886455,0.048828125,0.7789739552839865,0.29296875,False
A,cvar90_aubrc,GraphSAGE-TEG-Gate,GraphSAGE,TEG gated enhancement over GraphSAGE,0.0023815672909691206,0.020952997316270556,0.00018062864418511316,0.004956735345893814,0.048828125,0.5886780241824922,0.29296875,False
A,cvar90_aubrc,GraphSAGE-TEG-Gate,Stable-Tail GNN,Gate vs current main model,0.00029564365169307966,0.002649695941423492,-0.002166289102689011,0.0028208376324825256,0.845703125,0.07008162966215051,1.0,False
A,load_risk_aubrc,SGFormer-TEG-Gate,SGFormer-TEG-Concat,Gate vs concat,-0.018993463706856062,-0.008709567054535062,-0.06431409789036424,0.02895964784686666,0.4921875,-0.23693265370135097,1.0,False
A,load_risk_aubrc,SGFormer-TEG-Gate,SGFormer-adapted,TEG gated enhancement over SGFormer,-0.005428872880354252,-0.0024740534006604206,-0.07900845902653901,0.07006067629761559,1.0,-0.04257560399479091,1.0,False
A,load_risk_aubrc,SGFormer-TEG-Gate,Stable-Tail GNN,Gate vs current main model,0.00622423646410879,0.0028215336301278815,-0.04094266623837146,0.05752044633522067,0.921875,0.07340886157711132,1.0,False
A,load_risk_aubrc,GraphSAGE-TEG-Gate,GraphSAGE-TEG-Concat,Gate vs concat,0.03938686645958991,0.01773658666238144,-0.007641103033332769,0.08401215176508148,0.16015625,0.49954906317705705,0.9609375,False
A,load_risk_aubrc,GraphSAGE-TEG-Gate,GraphSAGE,TEG gated enhancement over GraphSAGE,0.021600494908600255,0.00980561433452783,-0.028680648398670818,0.06925962402532142,0.431640625,0.2634918899260796,1.0,False
A,load_risk_aubrc,GraphSAGE-TEG-Gate,Stable-Tail GNN,Gate vs current main model,0.02470671834633529,0.01119990172389185,-0.01949487268365536,0.06575054223666062,0.322265625,0.34574646451297786,1.0,False
A,average_common_risk_at_b,SGFormer-TEG-Gate,SGFormer-TEG-Concat,Gate vs concat,-0.004779787104734234,-0.0014052603232731905,-0.09555732928410145,0.08662548886582959,0.921875,-0.03075936676919941,1.0,False
A,average_common_risk_at_b,SGFormer-TEG-Gate,SGFormer-adapted,TEG gated enhancement over SGFormer,0.04576111284873345,0.013256811385570397,-0.11051056701450176,0.19728937745218356,0.6953125,0.17300981334412352,1.0,False
A,average_common_risk_at_b,SGFormer-TEG-Gate,Stable-Tail GNN,Gate vs current main model,-0.0122528795975553,-0.003610286210156994,-0.12977162971212433,0.11879996155194436,0.625,-0.058260505428098984,1.0,False
A,average_common_risk_at_b,GraphSAGE-TEG-Gate,GraphSAGE-TEG-Concat,Gate vs concat,0.09488236975551505,0.02808351399129082,0.025480316629410027,0.16839653810859084,0.064453125,0.7742375115994355,0.2578125,False
A,average_common_risk_at_b,GraphSAGE-TEG-Gate,GraphSAGE,TEG gated enhancement over GraphSAGE,0.13330090804556946,0.03901112241047345,0.061710444953856046,0.20206720509380666,0.01953125,1.1117799309998324,0.1171875,False
A,average_common_risk_at_b,GraphSAGE-TEG-Gate,Stable-Tail GNN,Gate vs current main model,0.11018379781008307,0.03246543334154998,0.02406349741331809,0.20402750323111762,0.048828125,0.7144990160077976,0.244140625,False
B,common_risk_aubrc,SGFormer-TEG-Gate,SGFormer-TEG-Concat,Gate vs concat,0.07056929590253347,0.012804286588228332,-0.06534304717575759,0.22513263546971,0.556640625,0.2866246595877344,1.0,False
