customer_set,baseline,comparison,baseline_minus_stable_aubrc_mean,relative_aubrc_reduction,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,holm_p,significant_0p05
A,GCN,Stable-Tail GNN,0.09210478324737244,0.021349009980017538,0.01457863677391667,0.16199354677632752,0.048828125,0.341796875,False
A,GAT,Stable-Tail GNN,0.18834511804619575,0.04270397845089367,0.12141157740289307,0.2436107148884532,0.001953125,0.021484375,True
A,GraphSAGE,Stable-Tail GNN,0.04038080121764391,0.009473462983785805,-0.01398307014472626,0.09588319741419735,0.322265625,1.0,False
A,GraphSAGE-TEG-Concat,Stable-Tail GNN,0.07089155941049965,0.016513182788888574,-0.01702243796206989,0.1368989872266659,0.10546875,0.52734375,False
A,GraphSAGE-TEG-Gate,Stable-Tail GNN,-0.008539389493555215,-0.0020266268894440563,-0.0713809114381063,0.05782632254529924,0.845703125,1.0,False
A,SGFormer-adapted,Stable-Tail GNN,0.10585896366999617,0.024459119950868958,0.01923206235741418,0.18572821543977341,0.064453125,0.38671875,False
A,SGFormer-TEG-Concat,Stable-Tail GNN,0.026369459812125483,0.0062067604892559105,-0.032071748969526866,0.09483794998185259,0.556640625,1.0,False
A,SGFormer-TEG-Gate,Stable-Tail GNN,0.022243511829227014,0.0052406973508923324,-0.05102402285696077,0.09777568707351698,0.6953125,1.0,False
A,Gradformer-adapted,Stable-Tail GNN,0.3140017553473499,0.06922226083741746,0.22384241676741395,0.40753059121884266,0.001953125,0.021484375,True
A,TEG-only,Stable-Tail GNN,0.13745888555434121,0.03153019234933334,0.07683320816531214,0.1943961377225291,0.00390625,0.03125,True
A,Stable-Tail w/o Tail Loss,Stable-Tail GNN,0.1246566925118083,0.028677851214434353,0.09373685676629777,0.15579931689582704,0.001953125,0.021484375,True
B,GCN,Stable-Tail GNN,0.18547898638127291,0.032814863367797986,0.07971757159577031,0.3015775536569876,0.009765625,0.087890625,False
B,GAT,Stable-Tail GNN,0.4616504622486464,0.07787025197923417,0.32660734841757166,0.5697898267269866,0.00390625,0.0390625,True
B,GraphSAGE,Stable-Tail GNN,0.10311860368525663,0.01851346218869381,-0.029952398444206982,0.24535839897841444,0.275390625,1.0,False
B,GraphSAGE-TEG-Concat,Stable-Tail GNN,0.13121140282067012,0.023438902420217417,0.015114808374730317,0.238144542292988,0.064453125,0.515625,False
B,GraphSAGE-TEG-Gate,Stable-Tail GNN,0.033230573275506714,0.006041881338694962,-0.0671422336605497,0.13642271681871526,0.4921875,1.0,False
B,SGFormer-adapted,Stable-Tail GNN,0.02151561463484013,0.003920253392462806,-0.07162740386971196,0.1165826501247168,0.6953125,1.0,False
B,SGFormer-TEG-Concat,Stable-Tail GNN,0.04457371994088684,0.008087577991635501,-0.07486072125369707,0.18306191334569047,0.76953125,1.0,False
B,SGFormer-TEG-Gate,Stable-Tail GNN,-0.025995575961646634,-0.00477788601845907,-0.1149339566206905,0.07395871464207555,0.625,1.0,False
B,Gradformer-adapted,Stable-Tail GNN,0.3294472252258096,0.05683795478562941,0.18316834855765196,0.4956404739292634,0.001953125,0.021484375,True
B,TEG-only,Stable-Tail GNN,0.1009328486235245,0.018128155170665516,0.011897861095925,0.18932821727100438,0.083984375,0.587890625,False
B,Stable-Tail w/o Tail Loss,Stable-Tail GNN,0.0772287168421367,0.013930054444819009,-0.025114780253354445,0.16856367197308753,0.130859375,0.78515625,False
