model,customer_set,model_seed_runs,cost_increase_mean,cost_increase_std,common_global_risk_mean_mean,common_global_risk_mean_std,common_global_cvar90_mean_mean,common_global_cvar90_mean_std,common_global_cvar95_mean_mean,common_global_cvar95_mean_std,common_max_edge_risk_mean_mean,common_max_edge_risk_mean_std,common_high_risk_edge_hits_mean_mean,common_high_risk_edge_hits_mean_std,common_max_vehicle_risk_mean_mean,common_max_vehicle_risk_mean_std,common_max_vehicle_cvar90_mean_mean,common_max_vehicle_cvar90_mean_std,common_edge_burden_gini_used_mean_mean,common_edge_burden_gini_used_mean_std,common_top10_burden_share_mean_mean,common_top10_burden_share_mean_std,load_global_risk_mean_mean,load_global_risk_mean_std,load_cvar90_mean_mean,load_cvar90_mean_std,load_cvar95_mean_mean,load_cvar95_mean_std,load_max_vehicle_risk_mean_mean,load_max_vehicle_risk_mean_std,load_edge_burden_gini_used_mean_mean,load_edge_burden_gini_used_mean_std,load_top10_burden_share_mean_mean,load_top10_burden_share_mean_std
GAT,A,10,0.1821498498320449,0.014820332717280943,3.235131821947288,0.2014351449203594,0.07361063332193021,0.005732170908724904,0.11148091633049266,0.017316196299736533,0.3825428031698145,0.03416678066024544,34.97,1.911398557194299,1.0483007437230187,0.07882129747758577,0.12547954902548195,0.012658982533197121,0.7735524849262527,0.01172735459339906,0.7716111491121759,0.014640105371501797,1.6464546337766108,0.11969367597058596,0.047395241099930444,0.004555797410421433,0.07700587713736763,0.006084832795472609,0.5878000816426673,0.06013869085411622,0.8191907766206011,0.011924641383658863,0.7879217572891829,0.017409307544589688
GAT,B,10,0.21927464179046458,0.02210719724652338,4.773855124710919,0.42990482834445976,0.12433640930493688,0.014503156835409673,0.2355219164212879,0.025723001170319604,0.5669579891362309,0.0915005146245536,38.559999999999995,1.2615686884016877,1.5307012872013896,0.12408898945022136,0.20425287849240448,0.04022863566631473,0.8227550640588017,0.011102661080433791,0.8305427375903569,0.014799624058558999,2.3378041797566107,0.2237949957907307,0.06609460676364055,0.00769263818148727,0.12069399542030931,0.014603722345341547,0.8026420750419085,0.04813735213966483,0.8503981748169149,0.009240935938212383,0.8321230800276392,0.01439440379646078
GCN,A,10,0.18564421614815607,0.016426322635867418,3.0248872009862064,0.11325947454471326,0.06717090619424251,0.002923853471779931,0.09615585797643009,0.006123106783691118,0.3642578774710698,0.0013905883202709796,34.38,0.5652924513520009,1.021602092008384,0.1014673330159638,0.12075437186381435,0.013580962149925022,0.7615479808086084,0.006691359618588804,0.7567068069512473,0.009492045234153226,1.5429382517908323,0.061855160394396425,0.0436238669244886,0.0024342778290388036,0.07220183620729911,0.0029604941452348447,0.5456700770766183,0.05004386996610895,0.8111929425499861,0.006039013477845965,0.7757662994736516,0.008599951000656558
GCN,B,10,0.22936543546375035,0.017820439887956424,4.117749430643976,0.16375722529424466,0.10184513546970737,0.0076833395265083464,0.19994391588568983,0.01244559174484455,0.5049613718131524,0.03915031621165673,37.53,0.49899899799498515,1.423335143132038,0.08701521281390169,0.16581492334853176,0.01382811214630507,0.804188147502472,0.0053501790982452635,0.8065974454104458,0.00687596859607084,2.055870037406149,0.10344541568288902,0.056422897371469605,0.0035157544421082956,0.10336283393007908,0.006385632794681642,0.774884708076397,0.05127118922541364,0.8401151414022374,0.006086397423798999,0.8166073634034701,0.009015785286058342
Gradformer-adapted,A,10,0.1946854599559661,0.02381049609597636,3.502375643770871,0.25766688645733704,0.08075420876641767,0.01013697127065596,0.13373105351753414,0.03337528655891357,0.5070279597977067,0.12490922814361473,35.67,0.8920014947670578,1.0874797078486353,0.13812151634270206,0.1543838275439941,0.03192645424534245,0.7831863492818665,0.010531074489750677,0.7863585818816953,0.013123423179344444,1.7438772735713308,0.11590654808761694,0.05089858944797845,0.004105325352853919,0.0823578670354862,0.00829207299582371,0.6203767507243196,0.0658096778259566,0.8259627727556152,0.010520863876753345,0.7958874484436614,0.013464059417493401
Gradformer-adapted,B,10,0.22003084189887417,0.035203445514074026,4.447137470976198,0.4070614067034608,0.11269345172550567,0.01190063268513047,0.21639524704711324,0.019646110498256514,0.5218984295484578,0.026629398495422094,38.599999999999994,0.9763879010584549,1.4855381213445358,0.09778406822402656,0.19377267173607568,0.019984990724633597,0.8115959570651251,0.009596109090608837,0.8186186416064617,0.014368375732702256,2.2383933788104877,0.20899149854045027,0.06242446832140234,0.0072870502361855535,0.11458617121484811,0.012728169699299815,0.8083861681828571,0.03968407420252912,0.8454143981830923,0.007763458592443912,0.8271819179851077,0.012803378386508307
GraphSAGE,A,10,0.17670452625557148,0.015847056708579336,3.060170301329089,0.1488338174309187,0.06775244315938381,0.0030887051780548545,0.09968941416773608,0.008963084130403145,0.36504089309671084,0.004020495271041904,34.7,0.9786612170602137,1.0330463491243063,0.07506836829554206,0.12526195137111149,0.010140188280716922,0.7631393158771237,0.009227348171171922,0.7588766406274282,0.012029331855590084,1.5823247499229307,0.08363656887019781,0.045073725556943216,0.0031746143818639242,0.07463521659972255,0.0032779678098018377,0.5725198675257175,0.052871594492334785,0.8139354794684925,0.007038424962811261,0.7797055044860612,0.011109724220051263
GraphSAGE,B,10,0.21213951685218357,0.028229470329292728,4.21222634664048,0.3086430023412238,0.10624901261039439,0.011089001079620558,0.2028963177824302,0.018011771256869872,0.47007313075800694,0.061396905586690864,38.589999999999996,0.8047774019358813,1.397777318044942,0.09802940227047072,0.16631855258771713,0.018366463346401792,0.804741164202668,0.008704622857151833,0.808781242537502,0.011965735691361484,2.18613278690937,0.24371443090941405,0.05994423554581303,0.008762562156533678,0.11081889806784603,0.016285558840547814,0.7795593399028256,0.07078605649453665,0.8425559059691927,0.01121548359613497,0.8206399344551965,0.017389924051863362
GraphSAGE-TEG-Concat,A,10,0.18928296734065447,0.017029648453347753,3.0170533734524407,0.16787433067085608,0.06652172002561432,0.004312050743032035,0.09722684653869187,0.009959043018933371,0.35730825815222894,0.020521617547673753,34.54,1.2825322174857408,1.0070258070211238,0.07668419681195264,0.12337844554590775,0.008572982757391613,0.7625124309092464,0.010866955956124061,0.756109408676634,0.014136079025684261,1.5384938921278761,0.1280542929472091,0.043203519773761474,0.0046285873354753575,0.0721778889667551,0.007341136552549262,0.5458633183149406,0.06447523241748185,0.8093124939981111,0.010747730094281644,0.7736433250257309,0.014638974817823443
GraphSAGE-TEG-Concat,B,10,0.22191744709843958,0.025294633927269522,4.060255807273316,0.37113341548401774,0.09851242242010608,0.013638706839737297,0.19244291169046152,0.021961773887897537,0.4504422160315843,0.08132207042072141,38.230000000000004,1.0011659869039364,1.368330682222624,0.1430437591167634,0.16349771357268122,0.022580652458642474,0.8011904686083244,0.011862273467968492,0.802253008201399,0.016935205678592694,2.074248153550152,0.2048804844359483,0.05593037199776728,0.006994921584828839,0.10300919296866382,0.014043188253235165,0.7391229367837852,0.08152129650101242,0.8386267001248108,0.01073639661709423,0.8146441226640085,0.0166389020948614
