customer_set,budget,baseline,comparison,baseline_minus_stable_mean,relative_risk_reduction,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,effect_size_dz,holm_p,significant_0p05
A,0.1,GCN,Stable-Tail GNN,0.4028780481318358,0.06760444317806312,0.09779537267803022,0.7096251113429841,0.02734375,0.7667892086155853,0.30078125,False
A,0.1,GAT,Stable-Tail GNN,0.35343305683728365,0.05980358230123073,-0.07302481607345461,0.7652734435877049,0.130859375,0.49410202849202606,1.0,False
A,0.1,GraphSAGE,Stable-Tail GNN,0.11526301843630363,0.020322382204724994,-0.45106871184766345,0.6294166065585574,0.4921875,0.12585724951463723,1.0,False
A,0.1,GraphSAGE-TEG-Concat,Stable-Tail GNN,0.09888208818658617,0.017484708171989407,-0.2389393900974039,0.3952728669772844,0.375,0.18101436517528433,1.0,False
A,0.1,GraphSAGE-TEG-Gate,Stable-Tail GNN,-0.22974696484540677,-0.043131056742362534,-0.6763883516259114,0.20120389885805898,0.625,-0.30490224922862097,1.0,False
A,0.1,SGFormer-adapted,Stable-Tail GNN,-0.20468484957424593,-0.03824612658413374,-0.5431436957546715,0.10233055216294522,0.431640625,-0.3726351471493414,1.0,False
A,0.1,SGFormer-TEG-Concat,Stable-Tail GNN,-0.23949047295449272,-0.04504262438929344,-0.5895027045892022,0.009743481172041695,0.232421875,-0.44934394419481455,1.0,False
A,0.1,SGFormer-TEG-Gate,Stable-Tail GNN,0.11587065334445316,0.020427327748724213,-0.4562175030049311,0.6040910042815266,0.431640625,0.1262266038325346,1.0,False
A,0.1,Gradformer-adapted,Stable-Tail GNN,0.4245106125541211,0.07097682074176931,0.040428615184199074,0.8010591545946116,0.064453125,0.6569278384729222,0.580078125,False
A,0.1,TEG-only,Stable-Tail GNN,0.21331909071326222,0.03697176505833346,-0.12531930630031146,0.5303564208957041,0.232421875,0.38433315510133814,1.0,False
A,0.1,Stable-Tail w/o Tail Loss,Stable-Tail GNN,0.43204391610136705,0.07214549462395241,0.13482206314643744,0.7636969524693792,0.02734375,0.8065384003541441,0.30078125,False
A,0.15,GCN,Stable-Tail GNN,0.1293797949568157,0.02776525791203037,0.011604553759607353,0.2518269751479954,0.064453125,0.6334292190496553,0.64453125,False
A,0.15,GAT,Stable-Tail GNN,0.3055828068252861,0.0631894814269546,0.12799150806480158,0.4824730639259949,0.013671875,1.0111078948174181,0.150390625,False
A,0.15,GraphSAGE,Stable-Tail GNN,0.047230730734586945,0.010317739717777021,-0.0597946139391197,0.16052905236192833,0.431640625,0.2500282356353386,1.0,False
A,0.15,GraphSAGE-TEG-Concat,Stable-Tail GNN,-0.02075878633229449,-0.004603208398098423,-0.1964861913355588,0.17501963772348567,0.76953125,-0.0653238947997097,1.0,False
A,0.15,GraphSAGE-TEG-Gate,Stable-Tail GNN,-0.08923132436000522,-0.020091888068111796,-0.26269415898802906,0.06380369261504348,0.76953125,-0.31540883291646965,1.0,False
A,0.15,SGFormer-adapted,Stable-Tail GNN,-0.09561033865803008,-0.02155919349371665,-0.40350006610469014,0.1568866637434646,0.845703125,-0.19666045160743098,1.0,False
A,0.15,SGFormer-TEG-Concat,Stable-Tail GNN,-0.14145413982319494,-0.032229689817095404,-0.3441274724224948,0.03549239372669853,0.375,-0.4358479401987629,1.0,False
A,0.15,SGFormer-TEG-Gate,Stable-Tail GNN,-0.16329446399406294,-0.037391980198424976,-0.41045376422406854,0.042248739965485525,0.193359375,-0.41893660153184253,1.0,False
A,0.15,Gradformer-adapted,Stable-Tail GNN,-0.02171930374799036,-0.004817226739417136,-0.19215627778880195,0.13924363841889226,0.845703125,-0.07797366798750852,1.0,False
