model,customer_set,budget,model_seed_runs,cost_increase_mean,cost_increase_std,common_global_risk_mean_mean,common_global_risk_mean_std,common_global_cvar90_mean_mean,common_global_cvar90_mean_std,common_global_cvar95_mean_mean,common_global_cvar95_mean_std,common_max_edge_risk_mean_mean,common_max_edge_risk_mean_std,common_high_risk_edge_hits_mean_mean,common_high_risk_edge_hits_mean_std,common_max_vehicle_risk_mean_mean,common_max_vehicle_risk_mean_std,common_max_vehicle_cvar90_mean_mean,common_max_vehicle_cvar90_mean_std,common_edge_burden_gini_used_mean_mean,common_edge_burden_gini_used_mean_std,common_top10_burden_share_mean_mean,common_top10_burden_share_mean_std,load_global_risk_mean_mean,load_global_risk_mean_std,load_cvar90_mean_mean,load_cvar90_mean_std,load_cvar95_mean_mean,load_cvar95_mean_std,load_max_vehicle_risk_mean_mean,load_max_vehicle_risk_mean_std,load_edge_burden_gini_used_mean_mean,load_edge_burden_gini_used_mean_std,load_top10_burden_share_mean_mean,load_top10_burden_share_mean_std
GAT,A,0.1,10,0.06612494623151986,0.010851231374668488,5.693059801455761,0.42342023859517736,0.16994212809515546,0.012486305824361756,0.3301434905228634,0.02892252202910255,0.8212358193987198,0.039044030845639684,39.57000000000001,0.7601900347208504,1.7956512620872196,0.1264323525749628,0.30218577079078435,0.02109982591857315,0.8435659761461543,0.007091920961296933,0.8670794131851493,0.009453457030287951,3.1558171261773773,0.2811025300681067,0.10550826552594314,0.011573288063960383,0.19870788265653755,0.02166578648383167,1.1787510579381615,0.1148822605947398,0.8823479269629049,0.007766700290441295,0.8845287451906902,0.011729547849193984
GAT,A,0.15,10,0.11077935538409822,0.009575189384572191,4.634056363858421,0.2554637029466371,0.13044009120016925,0.010781868211843397,0.25227514099959925,0.02043642124347032,0.8109652743855345,0.03829568178438321,38.01,1.1503139668030735,1.4703494406360451,0.12379504964346996,0.2579365787937164,0.025636659258519483,0.8251665793246582,0.00594079663155699,0.8398214012175677,0.007646008615780173,2.4194928512684406,0.10802362397929807,0.07631718024083442,0.003572332453015595,0.1355532460811845,0.010289459970741086,0.9105638193079338,0.055359234704868844,0.8616237067729327,0.004100813169022439,0.8523836384030311,0.005897011869831892
GAT,A,0.2,10,0.1743132463440123,0.021503770411497352,3.3777304917559,0.3890538412727128,0.07931539408994456,0.01554968016215179,0.12550943906015424,0.043733343009851454,0.4245054457783944,0.1296035843409517,35.269999999999996,2.122917280012997,1.0906565570631366,0.14492773442125767,0.13534773513791384,0.03194785196748627,0.7795821353103829,0.015254023324032716,0.7797858640434787,0.02083227822190593,1.7462114111496707,0.27568690917921074,0.05113574472507317,0.010412646229622614,0.08398796147392217,0.01979022400665133,0.6326597562919627,0.11621200233438828,0.8253291880519491,0.017545104346894286,0.7971316199076591,0.02565541651470133
GAT,A,0.25,10,0.19084351245623768,0.019957895715005683,3.1860477640244005,0.19017635407446926,0.0728496747258828,0.006011318741085613,0.10658460249739281,0.014579758391760232,0.3768936588416779,0.03175879860417832,34.519999999999996,1.5963848046271443,1.0335053893783641,0.08158534899991693,0.12344898225071152,0.0132249252565602,0.7710085598008234,0.011742776395536803,0.7682084055599734,0.014376562821247729,1.613973773905523,0.11288254888472031,0.04622291204861593,0.004316217094504945,0.07541917282086902,0.00607345088494048,0.5736456008621384,0.06419915395165149,0.817112889900141,0.01160188633985902,0.7847457460239781,0.016809974730868107
GAT,A,0.3,10,0.2334093315628889,0.04418716698578144,2.928540549061688,0.21425277605280862,0.06652124508657346,0.005406676103064143,0.0943383687878217,0.008097618742035618,0.36851641722100525,0.014975634473388112,33.17999999999999,1.4343407312536762,0.9727647522548079,0.10362032017355342,0.11401137947115925,0.015337120981670638,0.7555112275780471,0.014257637877695248,0.747052817044126,0.01985414664429432,1.4881730875039565,0.10966027151563075,0.041206770731129765,0.0045475421374898935,0.06965496309438315,0.005409834904655944,0.5348155133138416,0.061139966357454584,0.8060403057833879,0.011896990953001414,0.7668684362357184,0.019070237175128367
GAT,A,0.35,10,0.29233824653930546,0.024979326896702406,2.6393681681535757,0.2396535104099288,0.05851361869956824,0.007012429726377514,0.08317725738207497,0.0077939315295398656,0.34557994786819807,0.025750320616363627,32.35,1.1881357947081088,0.8858324071174459,0.09367453488354574,0.10051023613385499,0.014768579597308321,0.73496979065291,0.02043603367320381,0.7182119062809538,0.027156973052351107,1.331776481001235,0.11568415702232682,0.03502433351270494,0.004465392188064014,0.06098569999836469,0.007250514020697158,0.4882015803644896,0.04203774126081511,0.7889097363648838,0.015459946872938043,0.7410336961780697,0.02179528234547807
GAT,A,0.4,10,0.29233824653930546,0.024979326896702406,2.6393681681535757,0.2396535104099288,0.05851361869956824,0.007012429726377514,0.08317725738207497,0.0077939315295398656,0.34557994786819807,0.025750320616363627,32.35,1.1881357947081088,0.8858324071174459,0.09367453488354574,0.10051023613385499,0.014768579597308321,0.73496979065291,0.02043603367320381,0.7182119062809538,0.027156973052351107,1.331776481001235,0.11568415702232682,0.03502433351270494,0.004465392188064014,0.06098569999836469,0.007250514020697158,0.4882015803644896,0.04203774126081511,0.7889097363648838,0.015459946872938043,0.7410336961780697,0.02179528234547807
GAT,B,0.1,10,0.06610397674967797,0.00787445517864407,7.2056452976074326,0.10199491977595988,0.17625522350947048,0.003369557854033018,0.36320304848568574,0.003964364200552224,0.8193895363682581,0.0,44.959999999999994,0.7618690467819548,2.3315234303010266,0.1293598216157126,0.35351747379436504,0.01872182276341106,0.8509332528197178,0.001127994279613137,0.8810550901638743,0.0018440038164866343,3.543541830937888,0.15282983995137697,0.1078166345821221,0.005040145894689464,0.1906466692264851,0.007845073907494522,1.2119439572647708,0.07880716275087842,0.8737609951135692,0.00371370462914798,0.8793647921396215,0.005042883677471181
GAT,B,0.15,10,0.12124230977980846,0.018174283291324922,6.270566212328356,0.39595613993530016,0.1570375058518047,0.00875390921715821,0.317299667650037,0.021747139299762228,0.702183836296177,0.09079691472634692,43.0,1.2445436468396327,1.9665527763053476,0.16976410660757368,0.3061756072735843,0.03158050799490032,0.8430846297438264,0.004985210592732871,0.8657087994160829,0.007123555681680839,3.1786275295609596,0.15537666283500345,0.09587066091754384,0.005775865247686777,0.1721151594201722,0.01056655477907158,1.0648438441103276,0.07623275092560892,0.870081701633554,0.003992591129761975,0.8689865057171529,0.005445883707662469
GAT,B,0.2,10,0.14419545462874075,0.026266264885878878,5.956370168085317,0.42259098196161154,0.1512884456578031,0.007596087145254023,0.3017402555386375,0.02371877365898696,0.6885997998966122,0.08585684042618731,42.31,1.3819872969347051,1.8771892657531786,0.16985739229940014,0.2870809099024764,0.03464791694550827,0.8399750964465376,0.005125761472788063,0.8597450450676712,0.008534970895654062,3.0148382788625763,0.24389622313106255,0.0900508969472895,0.00901918083833263,0.16263179325508534,0.015766918133315495,1.0197372123055515,0.098517100837056,0.8675114126856697,0.005492012018299129,0.8635506234320752,0.008968310165365576
