customer_set,model,beta,lambda_concentration,model_seed_runs,cost_increase_mean,cost_increase_std,cost_increase_mean_std,global_risk_mean,global_risk_std,global_risk_mean_std,risk_reduction_mean,risk_reduction_std,risk_reduction_mean_std,cvar90_mean,cvar90_std,cvar90_mean_std,max_vehicle_risk_mean,max_vehicle_risk_std,max_vehicle_risk_mean_std,edge_burden_gini_mean,edge_burden_gini_std,edge_burden_gini_mean_std,top10_share_mean,top10_share_std,top10_share_mean_std
A,Stable-Tail-Gate,0.0,0.0,10,0.0,0.0,0.000% +/- 0.000%,8.231620158086297,0.6371992024112366,8.231620 +/- 0.637199,0.0,0.0,0.000% +/- 0.000%,0.250650736562539,0.024991150427903966,0.250651 +/- 0.024991,2.3627474563872966,0.12742962275045672,2.362747 +/- 0.127430,0.8612812213693533,0.0033156738683585403,0.861281 +/- 0.003316,0.8851279677856588,0.003478899369523167,88.513% +/- 0.348%
A,Stable-Tail-Gate,0.25,0.0,10,0.0656467362990683,0.0032143104664060698,6.565% +/- 0.321%,6.01792552866711,0.5790350808805099,6.017926 +/- 0.579035,0.2676579619390919,0.06104614121206134,26.766% +/- 6.105%,0.17721167009281968,0.022932391218077285,0.177212 +/- 0.022932,1.8332645502692322,0.2008403279422474,1.833265 +/- 0.200840,0.850202585045271,0.007630391136503737,0.850203 +/- 0.007630,0.8707474528826429,0.010004987384169542,87.075% +/- 1.000%
A,Stable-Tail-Gate,0.5,0.0,10,0.11318327156645197,0.006686522153773848,11.318% +/- 0.669%,4.509680278773158,0.4262152010182331,4.509680 +/- 0.426215,0.4526117846753973,0.017569874300975015,45.261% +/- 1.757%,0.130345888517439,0.014129731277454725,0.130346 +/- 0.014130,1.6120158267064835,0.1892001469515108,1.612016 +/- 0.189200,0.8255369120741171,0.007948957622957274,0.825537 +/- 0.007949,0.8342931152200039,0.009710579676896945,83.429% +/- 0.971%
A,Stable-Tail-Gate,1.0,0.0,10,0.1811980443214392,0.011886498279847536,18.120% +/- 1.189%,3.0566690647309587,0.3233707145495671,3.056669 +/- 0.323371,0.6290343746031113,0.01923472781412751,62.903% +/- 1.923%,0.07133299616358618,0.00911166998431752,0.071333 +/- 0.009112,1.039092707515665,0.14263658718511968,1.039093 +/- 0.142637,0.7684459868657884,0.016733533899729036,0.768446 +/- 0.016734,0.756585586043961,0.01795092275283076,75.659% +/- 1.795%
A,Stable-Tail-Gate,2.0,0.0,10,0.2872374898253589,0.02079662942065474,28.724% +/- 2.080%,2.545426859437866,0.32533677133897027,2.545427 +/- 0.325337,0.6910917218414847,0.025840643038526265,69.109% +/- 2.584%,0.054610517318891244,0.009053005030882088,0.054611 +/- 0.009053,0.8640622881868331,0.17557142518419552,0.864062 +/- 0.175571,0.7336290514897552,0.028755116639941097,0.733629 +/- 0.028755,0.7075071404678795,0.031647984517379726,70.751% +/- 3.165%
B,Stable-Tail-Gate,0.0,0.0,10,0.0,0.0,0.000% +/- 0.000%,8.564941953623958,0.6638713551392613,8.564942 +/- 0.663871,0.0,0.0,0.000% +/- 0.000%,0.2578740215719093,0.017241869556193765,0.257874 +/- 0.017242,2.7895058944021,0.27619968139666334,2.789506 +/- 0.276200,0.8586183628738194,0.005273050958064258,0.858618 +/- 0.005273,0.8877490284959424,0.005817249519235743,88.775% +/- 0.582%
B,Stable-Tail-Gate,0.25,0.0,10,0.06859135958422347,0.003869724295050408,6.859% +/- 0.387%,7.317032450593569,0.5388905359624723,7.317032 +/- 0.538891,0.14532166950636896,0.01759450441551873,14.532% +/- 1.759%,0.19343033891134082,0.0287597238431427,0.193430 +/- 0.028760,2.4222708016011163,0.2624683190621846,2.422271 +/- 0.262468,0.8555174231177197,0.004707954286169087,0.855517 +/- 0.004708,0.8823659750059837,0.00518824437969853,88.237% +/- 0.519%
B,Stable-Tail-Gate,0.5,0.0,10,0.1319191671650336,0.009143485099296926,13.192% +/- 0.914%,5.865006862831926,0.7096700024064978,5.865007 +/- 0.709670,0.31664647165136206,0.04604006232706467,31.665% +/- 4.604%,0.1500860390880352,0.025025961698984675,0.150086 +/- 0.025026,1.8566105781343734,0.32023412095450465,1.856611 +/- 0.320234,0.8404706693014325,0.009862744892710862,0.840471 +/- 0.009863,0.8554938261277921,0.013507964555691513,85.549% +/- 1.351%
B,Stable-Tail-Gate,1.0,0.0,10,0.21622595427161112,0.017180717806548475,21.623% +/- 1.718%,4.080578583806349,0.5747493972787441,4.080579 +/- 0.574749,0.5250808275025934,0.03838334048611174,52.508% +/- 3.838%,0.10138569315022772,0.019560802954408228,0.101386 +/- 0.019561,1.4388355010307938,0.23869607586860592,1.438836 +/- 0.238696,0.8065472078444987,0.015799780593273097,0.806547 +/- 0.015800,0.8016128081802548,0.020493057453000507,80.161% +/- 2.049%
B,Stable-Tail-Gate,2.0,0.0,10,0.3394935153936842,0.033549815283352186,33.949% +/- 3.355%,3.1845046441065574,0.424609045873942,3.184505 +/- 0.424609,0.6294199388309067,0.02366127135106294,62.942% +/- 2.366%,0.06956432815670495,0.009404022731862046,0.069564 +/- 0.009404,1.132049145872083,0.30786125784798507,1.132049 +/- 0.307861,0.7721160907084127,0.019421974608238655,0.772116 +/- 0.019422,0.7473740849696243,0.022740514488616685,74.737% +/- 2.274%
