objective,cells,common_global_risk_mean,common_global_cvar90_mean,load_global_risk_mean,common_top10_burden_share_mean
J-common,6,2.915958590430263,0.0616809453590802,1.5167445074580266,0.7092158392274269
J-common+cvar,6,2.928567087240928,0.06022765750472511,1.507058831060828,0.7105668063933429
J-common+load,6,2.9746248305564116,0.06423867424717215,1.3311454185366245,0.7142188127304276
J-common+top10,6,2.9228741874624156,0.061680650005630555,1.4732957489653244,0.7085271591310772
J-full,6,2.940221774689521,0.061313391085530224,1.387876919867928,0.7111817666800281
