route_pool,cells,common_global_risk_mean,common_global_cvar90_mean,load_global_risk_mean,common_top10_burden_share_mean
GCN-only pool,6,3.284398000216191,0.07217306355571727,1.5400965870484555,0.7355688603406723
Stable-Tail-only pool,6,2.9909287681102072,0.06287225163922351,1.4241817457062176,0.7183703397354032
TEG-low-only pool,6,3.1447190148081927,0.0676383145054341,1.525902429596268,0.7252846638698399
three-model + multi-eta pool,6,2.865310988006574,0.058659347723967546,1.3675946511824095,0.7000896222303022
three-model pool,6,2.940221774689521,0.061313391085530224,1.387876919867928,0.7111817666800281
