objective,customer_set,budget,runs,cost_increase_pct_mean,common_global_risk_mean,common_global_risk_std,common_global_cvar90_mean,common_global_cvar90_std,load_global_risk_mean,load_global_risk_std,common_top10_burden_share_mean,common_top10_burden_share_std
J-common,A,0.2,10,0.1861788559896616,2.71391338616752,0.07965424780528675,0.054370796781020955,0.008006980979374068,1.4506288910599459,0.20516611676921695,0.7099912416567609,0.009555622890903236
J-common,A,0.25,10,0.22957592019581705,2.5381935321690365,0.10584216281393857,0.04696448642728727,0.004501182858904527,1.2977436380932215,0.10409360782188072,0.6859309838619383,0.01830079942725401
J-common,A,0.3,10,0.2861180339340263,2.2421249900087963,0.1170847634160174,0.03956158756064214,0.005119079984433533,1.1127795796732542,0.07711375343023749,0.6409638721902485,0.020052590597345977
J-common,B,0.2,10,0.18662852299712046,3.5623543419058996,0.21201277049542847,0.0834827185173998,0.005267874058857026,1.735070417445676,0.30576582175964157,0.7543918543099088,0.015665289090203205
J-common,B,0.25,10,0.2228133429673736,3.298287779139284,0.059322831860808035,0.07540777131948423,0.0016091227389012416,1.7827190195681166,0.228844769922803,0.7383993600825887,0.005902966265662316
J-common,B,0.3,10,0.28234821490286083,3.1408775131910445,0.05659906703918737,0.07029831154864678,0.004188433412573028,1.7215254989079452,0.18108344483601793,0.7256177232631155,0.007219780170053195
J-common+cvar,A,0.2,10,0.19403645902773556,2.72884932330288,0.08982782433842672,0.050962655400251466,0.0037464312804043522,1.39274006739166,0.17751933828357813,0.7137592249123969,0.010700365200785055
J-common+cvar,A,0.25,10,0.23194239603781724,2.5495152578912155,0.11353541752526479,0.04541892921015029,0.003532328596792874,1.2629652162555751,0.06786944528788995,0.6897868752499223,0.019055641149089433
J-common+cvar,A,0.3,10,0.28088883466179765,2.2519945067308984,0.12842128070600267,0.038425291313109365,0.003239540032482503,1.1440829619531319,0.0759829769888251,0.6424221857978363,0.02187885153632201
J-common+cvar,B,0.2,10,0.18656132690671118,3.5656585891278723,0.21323775388900726,0.08316838137803448,0.0054315250192685256,1.7821959350181291,0.26171276257310977,0.7552210798922941,0.015942598243045
J-common+cvar,B,0.25,10,0.2228133429673736,3.298287779139284,0.059322831860808035,0.07540777131948423,0.0016091227389012416,1.7827190195681166,0.228844769922803,0.7383993600825887,0.005902966265662316
J-common+cvar,B,0.3,10,0.2768860156305756,3.177097067253417,0.06895229381103433,0.06798291640732085,0.0030302421498895997,1.6776497861783546,0.2196366066363664,0.7238121124250189,0.006713726406761101
J-common+load,A,0.2,10,0.1847362776250992,2.7752044839209224,0.14064127655263953,0.05907289335305854,0.011559806448541906,1.2918301112863944,0.12719377402269028,0.7153542749127043,0.013098854373800551
J-common+load,A,0.25,10,0.22944532695121156,2.5872576399738363,0.12933799529257753,0.04908499118270733,0.008116592055428565,1.1365894449406502,0.06681778362906009,0.6959525851995367,0.019674592487055897
J-common+load,A,0.3,10,0.28402843491315266,2.254001797021531,0.13389701695471193,0.039039573483922264,0.004347774643246613,1.1037828703882246,0.07488004655829841,0.642410080439482,0.02189893708027737
J-common+load,B,0.2,10,0.1870785311790874,3.590333717153098,0.25207928699130333,0.08430176447337397,0.006378131417415956,1.6754966889245377,0.2344060889489229,0.755635684893581,0.017276807345513526
J-common+load,B,0.25,10,0.21203865847158676,3.3738625272442073,0.13607188907528145,0.07895301509490228,0.004138728694205606,1.4870633636672212,0.12219007348595354,0.7414332273234073,0.008320454805191798
J-common+load,B,0.3,10,0.2809279819166429,3.2670888180248747,0.16425180004056264,0.07497980789506854,0.00687929495251291,1.2921100320127183,0.1757298175694018,0.7345270236138546,0.015628371939941373
J-common+top10,A,0.2,10,0.1861788559896616,2.71391338616752,0.07965424780528675,0.054370796781020955,0.008006980979374068,1.4506288910599459,0.20516611676921695,0.7099912416567609,0.009555622890903236
J-common+top10,A,0.25,10,0.22642663740420232,2.5455044153923394,0.1117109082064622,0.046751665596725445,0.004435870472598523,1.2967560352684044,0.07978768023592579,0.6847106927514528,0.017242616130045883
J-common+top10,A,0.3,10,0.2861180339340263,2.2421249900087963,0.1170847634160174,0.03956158756064214,0.005119079984433533,1.1127795796732542,0.07711375343023749,0.6409638721902485,0.020052590597345977
J-common+top10,B,0.2,10,0.18662852299712046,3.5623543419058996,0.21201277049542847,0.0834827185173998,0.005267874058857026,1.735070417445676,0.30576582175964157,0.7543918543099088,0.015665289090203205
J-common+top10,B,0.25,10,0.22380954850219298,3.2992228309022,0.05892996472159055,0.07590821249009025,0.0015459236451303353,1.655552167175236,0.20321146187436592,0.7379966363886064,0.006106929892037336
J-common+top10,B,0.3,10,0.2704029804462365,3.1741251603977383,0.06894345891075228,0.07000891908790471,0.0027329271298279965,1.5889874031694302,0.1751864840925993,0.7231086574894858,0.006420465755307638
