route_pool,customer_set,budget,runs,cost_increase_pct_mean,common_global_risk_mean,common_global_risk_std,common_global_cvar90_mean,common_global_cvar90_std,load_global_risk_mean,load_global_risk_std,common_top10_burden_share_mean,common_top10_burden_share_std
GCN-only pool,A,0.2,10,0.17849139907553777,2.90094501183904,0.12854435341497186,0.062496192407284656,0.009260575745758327,1.4216474476995897,0.17061161558829135,0.7253663022530146,0.012195708489461485
GCN-only pool,A,0.25,10,0.2275035278537653,2.7132402706874394,0.06115373822223756,0.05416863862973369,0.007037070710445552,1.3739280365364155,0.22982976501312766,0.7088807076372284,0.010451345737050302
GCN-only pool,A,0.3,10,0.27328945632932455,2.415219232162026,0.12743414676356912,0.04257422043590846,0.003993157491602328,1.2181447709377848,0.16091648038071973,0.6667561266747553,0.017989307323364068
GCN-only pool,B,0.2,10,0.15723090993148417,4.848113839671079,0.48151086743562865,0.11545523109769622,0.014310611636708659,2.114773872419365,0.3005157197536989,0.8193525495553932,0.02111352315545585
GCN-only pool,B,0.25,10,0.22257535436893944,3.535528215300908,0.2536907105462488,0.08187706137735436,0.006816865237630575,1.6781013423093765,0.2463844326470692,0.7541647257737724,0.017497963715633405
GCN-only pool,B,0.3,10,0.287898986541235,3.2933414316366543,0.13433035432710355,0.0764670373863263,0.004654330058387086,1.4339840523882017,0.22681094846982522,0.7388927501498702,0.010676229422963125
Stable-Tail-only pool,A,0.2,10,0.1964887457908427,2.7780650175714374,0.13538977595600915,0.05305341023333412,0.008125380880169016,1.4218154614911183,0.19439650165799913,0.7197094952403555,0.012745860241186978
Stable-Tail-only pool,A,0.25,10,0.22667214654263237,2.5443475798349056,0.11228173050399037,0.04629273611961976,0.004019215423416446,1.2349921622248419,0.07021240639926644,0.6879232255513402,0.019279392468515164
Stable-Tail-only pool,A,0.3,10,0.2700915712012184,2.442571482185067,0.10253623530824395,0.043174697943582335,0.003909394844638675,1.1918284089372997,0.11549169478432199,0.6725094363269901,0.017563878136498727
Stable-Tail-only pool,B,0.2,10,0.18662852299712046,3.5623543419058996,0.21201277049542847,0.0834827185173998,0.005267874058857026,1.735070417445676,0.30576582175964157,0.7543918543099088,0.015665289090203205
Stable-Tail-only pool,B,0.25,10,0.21348235386154063,3.389069317672896,0.10891872265997801,0.0786235880349033,0.0023191296696375625,1.5175071060911605,0.16882311432614486,0.7432529338498114,0.008650673585020401
Stable-Tail-only pool,B,0.3,10,0.2804923334197753,3.2291648694910386,0.09011188994658809,0.07260635898650174,0.004467318943902121,1.4438769180472095,0.19413961558411486,0.7324350931340138,0.0052473200393618625
TEG-low-only pool,A,0.2,10,0.1849914954071432,2.950639698089744,0.22002224892718036,0.05964835454345378,0.006506134220266177,1.4259337188044072,0.11068572579074881,0.7323545515423278,0.020226828263249653
TEG-low-only pool,A,0.25,10,0.20661654825051895,2.7611944849153227,0.07547971590517712,0.05594976679291781,0.0033443075634461495,1.38465749822285,0.1566526445230989,0.7118583585675731,0.010804546630043488
TEG-low-only pool,A,0.3,10,0.2890150743107779,2.259044972850144,0.13261817981908816,0.04023650373043096,0.005703402686212445,1.131441752934777,0.09246153606717297,0.6426411899073914,0.02123153827904448
TEG-low-only pool,B,0.2,10,0.17354218189244403,4.264618436983059,0.22602188319372585,0.09955270644959018,0.005593089359624732,2.0738056817598753,0.1894982042870646,0.7938993530585173,0.010944140696861185
TEG-low-only pool,B,0.25,10,0.21305949586414927,3.431112811287298,0.17038383889046566,0.0802330105838371,0.005851164930958452,1.6639623353218274,0.17406888462375072,0.7461010144341049,0.012471361075455132
TEG-low-only pool,B,0.3,10,0.27108527853930153,3.201703684723591,0.07919761787268795,0.07020954493237472,0.003106259298118485,1.475613590533871,0.14776523361269872,0.7248535157091256,0.008466047063398622
three-model + multi-eta pool,A,0.2,10,0.19271403409927243,2.6967812548647423,0.08388286751592058,0.05091232472961116,0.0049600288922144065,1.3184786930664074,0.14401878921462305,0.708468344128797,0.010809051791710165
three-model + multi-eta pool,A,0.25,10,0.2377290923260659,2.3572602367527926,0.17622792581235777,0.04018630838209455,0.004386210272213782,1.2146464421808638,0.11459389280746489,0.6559647817145692,0.02341001818160001
three-model + multi-eta pool,A,0.3,10,0.2806529877575846,2.17652971026752,0.08822580511446747,0.036301618151267964,0.001658628513656286,1.0669911607518556,0.10212332250985265,0.6301122503272428,0.012999977947280278
three-model + multi-eta pool,B,0.2,10,0.1885684497121982,3.505149581291996,0.19721925729676215,0.08116358648047699,0.004426054976395265,1.6461877424763613,0.21018595508714275,0.7483242092695341,0.010983183291810444
three-model + multi-eta pool,B,0.25,10,0.2207207114512139,3.341531064640801,0.10898277782755385,0.07738093253182421,0.0020999019172657533,1.4363204173478663,0.14338978306537886,0.7391560851076818,0.006158592250914996
three-model + multi-eta pool,B,0.3,10,0.2857493241687671,3.1146140802215925,0.1140320555810069,0.06601131606853042,0.004563776647830175,1.5229434512711022,0.20128552732393956,0.7185120628339887,0.012924816551977853
three-model pool,A,0.2,10,0.19242374839026333,2.736096386450334,0.10098287255068042,0.05141630148705493,0.004430086655945119,1.3520417967528142,0.09506683976251906,0.7141115461265618,0.011130668708506198
three-model pool,A,0.25,10,0.22422509509410324,2.5605312800882727,0.12504172326180626,0.046645310909257325,0.0043398502899611845,1.1829040082029585,0.0977503195119677,0.6902996585352099,0.020123817064560845
three-model pool,A,0.3,10,0.283873953842681,2.24619168891008,0.12180327280747502,0.038863183378981994,0.0042033020745540165,1.11858348171935,0.08381268582321824,0.6418102458701658,0.02103236160133239
three-model pool,B,0.2,10,0.18662852299712046,3.5623543419058996,0.21201277049542847,0.0834827185173998,0.005267874058857026,1.735070417445676,0.30576582175964157,0.7543918543099088,0.015665289090203205
three-model pool,B,0.25,10,0.21616373347295043,3.348957733853034,0.1139911082037192,0.07739259166706515,0.0021065400424811103,1.5061463646002318,0.14589845665719794,0.740757151074442,0.007838033614082397
three-model pool,B,0.3,10,0.27588016191721376,3.1871992169295056,0.08040638296746987,0.07008024055342217,0.004847377014390401,1.4325154504865378,0.1897503555943751,0.7257201441638802,0.009057678355945797
