weight_setting,cells,common_global_risk_mean,common_global_cvar90_mean,load_global_risk_mean,common_top10_burden_share_mean
J-balanced,6,2.865310988006574,0.058659347723967546,1.3675946511824095,0.7000896222303022
J-conc,6,2.85693446496214,0.058426292157550956,1.387497985108399,0.6994386993881435
J-load,6,2.8959711818402774,0.0597439116593981,1.313303715896252,0.7040946076886678
J-risk,6,2.8565616606328668,0.05853859706474022,1.379249768801101,0.6998712712278857
J-tail,6,2.8624700589364345,0.05820491140999362,1.3909262979572983,0.7002073485716118
