route_pool,customer_set,seed,budget,rerank_score,cost_norm,common_risk_norm,cvar90_norm,load_risk_norm,top10_share_norm,risk_source,run_dir,beta,lambda_concentration,pyvrp_cost,routes,common_global_risk,common_global_cvar90,common_global_cvar95,common_max_edge_risk,common_high_risk_edge_hits,common_max_vehicle_risk,common_max_vehicle_cvar90,common_vehicle_risk_gini,common_edge_burden_gini_used,common_top10_burden_share,common_max_edge_burden,load_global_risk,load_cvar90,load_cvar95,load_max_vehicle_risk,load_vehicle_gini,load_edge_burden_gini_used,load_top10_burden_share,load_max_edge_burden,baseline_cost,cost_increase_pct
GCN-only pool,A,0,0.2,0.7726734544101788,0.3776173163670639,0.153787674727331,0.14019250554103088,0.12977590308149897,0.41744973103857397,A_GCN_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed0_A_GCN_seed0,1.0,0.0,156432.0,"[[0, 20, 44, 38, 50, 5, 43, 8, 7, 22, 46, 0], [0, 1, 41, 24, 19, 6, 17, 13, 49, 12, 48, 0], [0, 40, 9, 31, 36, 33, 34, 18, 35, 10, 37, 0], [0, 30, 23, 26, 28, 2, 25, 16, 3, 14, 42, 0], [0, 15, 45, 11, 39, 32, 4, 29, 47, 21, 27, 0]]",2.8284050276732016,0.05446624061808245,0.13335377188302816,0.3734145939377382,38.0,0.8892961468088297,0.11821519561844178,0.23921387141044637,0.7316292756429255,0.7241721676830248,0.5313090438090153,1.4915657424774338,0.04074691577850379,0.0650122275526642,0.47921580578896206,0.247078736267484,0.789437597274526,0.7426772505701319,0.33607313454396437,133997.0,0.16742912154749734
GCN-only pool,A,0,0.25,0.746865203212805,0.4977277317713593,0.13812782226227083,0.20697529202999373,0.014458195883769356,0.3606572020135548,A_GCN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed1_A_GCN_seed1,1.5,0.0,163568.0,"[[0, 48, 45, 39, 32, 4, 6, 19, 24, 41, 1, 0], [0, 40, 9, 31, 38, 50, 43, 8, 7, 22, 46, 0], [0, 36, 5, 33, 34, 18, 35, 10, 37, 17, 13, 0], [0, 12, 49, 30, 23, 26, 28, 2, 25, 11, 15, 0], [0, 42, 14, 3, 16, 20, 44, 29, 47, 21, 27, 0]]",2.748667076036469,0.06471287389320851,0.11720178382829585,0.3734145939377382,41.0,0.8258257443911523,0.07912446186698566,0.276681715329526,0.7169299996716263,0.7091357086311671,0.5313090438090153,1.1072364432207147,0.027262663982669057,0.04277773710629594,0.3483433617212885,0.2465745340866652,0.7374074101215629,0.6862036671010199,0.18595816533315537,133997.0,0.22068404516519027
GCN-only pool,A,0,0.3,0.18091222006402236,0.6016461320945263,0.04656905777205577,0.029372469865682024,0.018762193283124975,0.11367205855495512,A_GCN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed1_A_GCN_seed1,2.0,0.0,169742.0,"[[0, 30, 23, 26, 28, 2, 25, 11, 16, 3, 15, 0], [0, 48, 42, 14, 13, 17, 44, 29, 47, 21, 27, 0], [0, 20, 36, 5, 33, 34, 18, 35, 10, 37, 49, 0], [0, 1, 45, 39, 32, 4, 41, 24, 6, 19, 12, 0], [0, 40, 9, 31, 38, 50, 43, 8, 7, 22, 46, 0]]",2.2824616407599283,0.03746287306184316,0.09135039481122624,0.26565452190450767,40.0,0.7422193329319118,0.11370956618575043,0.2990934992970171,0.6646346635421692,0.6437436216826115,0.5313090438090153,1.121580747705201,0.025010210436322337,0.04321341304635468,0.3883136429024748,0.2888869143980701,0.7136590154825224,0.6498334653511905,0.2922199740949584,133997.0,0.2667597035754532
GCN-only pool,A,1,0.2,0.8451190429135083,0.42211674886831974,0.17121067424600464,0.15332107821338742,0.14449233164413025,0.44554776119319695,A_GCN_seed6,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed6_A_GCN_seed6,1.0,0.0,158988.0,"[[0, 20, 44, 17, 13, 12, 49, 14, 3, 16, 42, 0], [0, 15, 39, 38, 50, 5, 43, 8, 7, 22, 46, 0], [0, 37, 10, 35, 18, 34, 33, 36, 31, 9, 40, 0], [0, 41, 24, 19, 6, 32, 4, 29, 47, 21, 27, 0], [0, 48, 1, 45, 11, 25, 2, 28, 26, 23, 30, 0]]",2.930812354349671,0.0567628074435823,0.13958731040938493,0.3734145939377382,38.0,1.3185122059527317,0.1598533653364464,0.39983085085346937,0.7382058204347526,0.7303741514383133,0.5313090438090153,1.5091556509664092,0.04120725461921631,0.07390943272669889,0.7406836963434739,0.42876241533660187,0.7935026013956954,0.746547358858374,0.3734145939377382,133997.0,0.18650417546661494
GCN-only pool,A,1,0.25,0.7351725552298494,0.49474697655563815,0.1295600776079046,0.12675083251412994,0.15782764952708378,0.38856632613320224,A_GCN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed1_A_GCN_seed1,1.5,0.0,163288.0,"[[0, 39, 32, 18, 35, 10, 37, 34, 33, 5, 36, 0], [0, 1, 41, 24, 19, 6, 4, 29, 47, 21, 27, 0], [0, 42, 14, 3, 16, 20, 44, 17, 13, 12, 48, 0], [0, 15, 11, 45, 25, 2, 28, 26, 23, 30, 49, 0], [0, 40, 9, 31, 38, 50, 43, 8, 7, 22, 46, 0]]",2.719420951956982,0.05269493139200951,0.07394568454213736,0.3734145939377382,37.0,0.9278114020510012,0.10135363481426367,0.2738413678034659,0.7253541150116007,0.7151605207832595,0.5313090438090153,1.5541041942784133,0.041352434633280186,0.07292532304950654,0.4933034566084231,0.23657535638345095,0.7816509440539576,0.7423445510350579,0.33607313454396437,133997.0,0.21859444614431667
GCN-only pool,A,1,0.3,0.4029794724793286,0.6174920613472062,0.07186335978760984,0.06477740231863494,0.09610130015373924,0.21092001580141925,A_GCN_seed4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed4_A_GCN_seed4,1.5,0.0,170555.0,"[[0, 45, 25, 2, 28, 26, 23, 30, 49, 14, 42, 0], [0, 40, 9, 31, 38, 50, 43, 8, 7, 22, 46, 0], [0, 12, 37, 10, 35, 18, 34, 33, 5, 36, 20, 0], [0, 15, 3, 16, 11, 39, 32, 47, 21, 27, 48, 0], [0, 1, 41, 24, 19, 6, 4, 29, 44, 17, 13, 0]]",2.4265898504132775,0.043206865855110195,0.10279261181210342,0.3734145939377382,38.0,0.90505540619884,0.11821519561844178,0.3208275786786936,0.6845362461736733,0.6677302419604246,0.5313090438090153,1.3460469501502987,0.03390899556558225,0.058279818851461156,0.5089479253778868,0.3572974102880031,0.7751405908570022,0.714997299681439,0.3984817828567615,133997.0,0.2728270035896326
GCN-only pool,A,2,0.2,0.7511433332065042,0.4345556812999341,0.11820212594826465,0.14847245576672768,0.11925571616950169,0.433481159110565,A_GCN_seed2,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed2_A_GCN_seed2,1.0,0.0,159725.0,"[[0, 13, 17, 19, 6, 24, 41, 42, 14, 3, 15, 0], [0, 1, 16, 25, 2, 28, 26, 23, 30, 49, 12, 0], [0, 48, 11, 45, 39, 32, 4, 29, 47, 21, 27, 0], [0, 40, 9, 31, 36, 5, 43, 8, 7, 22, 46, 0], [0, 20, 44, 38, 50, 33, 34, 18, 35, 10, 37, 0]]",2.8476379579456825,0.07366431794297466,0.1258161730190996,0.3734145939377382,39.0,0.7863767516207744,0.07356644634441162,0.22016043238910843,0.7308232449098275,0.7263262943491551,0.5313090438090153,1.4192655603409823,0.037678977732458374,0.06637790916915143,0.46775478469312276,0.23413924776428563,0.7704549112137464,0.7247727071004448,0.34535087847585993,133998.0,0.19199540291646144
GCN-only pool,A,2,0.25,0.5605429447126267,0.5015117477154873,0.09764030100874717,0.07076929909850925,0.125959886043231,0.39080831892726003,A_GCN_seed9,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed9_A_GCN_seed9,1.5,0.0,163689.0,"[[0, 37, 10, 35, 18, 34, 33, 36, 31, 9, 40, 0], [0, 15, 11, 45, 39, 32, 4, 29, 47, 21, 27, 0], [0, 1, 41, 24, 6, 19, 20, 44, 17, 13, 12, 0], [0, 14, 3, 38, 50, 5, 43, 8, 7, 22, 46, 0], [0, 48, 42, 16, 25, 2, 28, 26, 23, 30, 49, 0]]",2.7079895361805093,0.052534138565693805,0.07370771115919011,0.3734145939377382,37.0,0.8931286694827015,0.09078002148828596,0.30015539963224036,0.7269905575949998,0.715112752028992,0.5313090438090153,1.445483069404993,0.038282502461354874,0.0664325682185003,0.5294458601065332,0.3641416031812208,0.7870937637809796,0.7395999791763611,0.33607313454396437,133998.0,0.2215779339990149
GCN-only pool,A,2,0.3,0.34074513254978334,0.599462865057514,0.05318139184603064,0.03874729379970607,0.10319609933482794,0.21374610753902523,A_GCN_seed3,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed3_A_GCN_seed3,2.0,0.0,169488.0,"[[0, 27, 21, 47, 32, 39, 15, 16, 3, 14, 42, 0], [0, 48, 12, 30, 23, 26, 28, 2, 25, 11, 45, 0], [0, 1, 41, 24, 19, 6, 4, 29, 44, 17, 13, 0], [0, 20, 36, 5, 33, 34, 18, 35, 10, 37, 49, 0], [0, 40, 9, 31, 38, 50, 43, 8, 7, 22, 46, 0]]",2.406040827044176,0.04382624631270507,0.06082003062476679,0.3734145939377382,37.0,0.739518394076109,0.0942011733667149,0.27157592319487067,0.6880074864672632,0.6685844545879323,0.5313090438090153,1.3564623859200178,0.03361777973973674,0.05943830574281871,0.47945435317214186,0.3214324892359963,0.7820268959720222,0.7237790553545631,0.33607313454396437,133998.0,0.2648546993238705
GCN-only pool,A,3,0.2,0.8824891180356995,0.3938651757512288,0.1877020342203288,0.15383361933419637,0.1596103031044515,0.455019084085053,A_GCN_seed3,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\extension_beta_sensitivity_10seed_GCN_seed3_A_GCN_seed3,1.0,0.0,157316.0,"[[0, 49, 30, 23, 26, 28, 2, 25, 11, 45, 15, 0], [0, 40, 9, 31, 36, 7, 8, 43, 22, 46, 1, 0], [0, 37, 10, 35, 18, 34, 33, 5, 50, 38, 39, 0], [0, 41, 24, 6, 19, 29, 4, 32, 47, 21, 27, 0], [0, 48, 12, 13, 17, 44, 20, 16, 3, 14, 42, 0]]",2.913026609823233,0.05634058714452719,0.13844128388337815,0.3734145939377382,38.0,1.1122077187704966,0.11533737495316296,0.3096987474107715,0.7374536472939948,0.7312141998970525,0.5313090438090153,1.382267011247975,0.03473707756639355,0.05155210187530149,0.5990740221833702,0.3491510576840131,0.7962255810216583,0.7437574117159897,0.3734145939377382,133997.0,0.17402628417054114
