weight_setting,customer_set,budget,runs,cost_increase_pct_mean,common_global_risk_mean,common_global_risk_std,common_global_cvar90_mean,common_global_cvar90_std,load_global_risk_mean,load_global_risk_std,common_top10_burden_share_mean,common_top10_burden_share_std
J-load,B,0.2,10,0.19103031802733764,3.527452574667991,0.23163571622577514,0.08150494059368125,0.005077756387994915,1.6109580595572175,0.17440933038873374,0.7515838410376598,0.015891583478222386
J-load,B,0.25,10,0.22359333386643593,3.3527908925374255,0.10881775623875323,0.07754857165938514,0.0021090396498293184,1.4216398566943802,0.13379430139574175,0.739619034663079,0.006067884243550878
J-load,B,0.3,10,0.2874849679710522,3.2168528910222456,0.11396296139190437,0.07145703366721462,0.005756097055806917,1.3238803996960222,0.137987697886489,0.7293087828687308,0.01060478228818366
J-risk,A,0.2,10,0.19271403409927243,2.6967812548647423,0.08388286751592058,0.05091232472961116,0.0049600288922144065,1.3184786930664074,0.14401878921462305,0.708468344128797,0.010809051791710165
J-risk,A,0.25,10,0.23669399452536885,2.3467832234840595,0.15759149375506565,0.040195521847796435,0.004400023135597819,1.2165182205504443,0.11277721451396192,0.6570891323962472,0.02549567525363424
J-risk,A,0.3,10,0.2806529877575846,2.17652971026752,0.08822580511446747,0.036301618151267964,0.001658628513656286,1.0669911607518556,0.10212332250985265,0.6301122503272428,0.012999977947280278
J-risk,B,0.2,10,0.1885684497121982,3.505149581291996,0.19721925729676215,0.08116358648047699,0.004426054976395265,1.6461877424763613,0.21018595508714275,0.7483242092695341,0.010983183291810444
J-risk,B,0.25,10,0.2190849278362,3.299512113667292,0.04395259899503179,0.07664721511075832,0.0010001735887250813,1.5043793446904357,0.13928292768322334,0.7367216284115041,0.0019643984630397177
J-risk,B,0.3,10,0.2857493241687671,3.1146140802215925,0.1140320555810069,0.06601131606853042,0.004563776647830175,1.5229434512711022,0.20128552732393956,0.7185120628339887,0.012924816551977853
J-tail,A,0.2,10,0.19522528435114372,2.7187349908138834,0.08023386278503232,0.04941640111670623,0.003149089495554984,1.3542422708118025,0.10289754222333501,0.71261728967421,0.010567417680956951
J-tail,A,0.25,10,0.2377290923260659,2.3572602367527926,0.17622792581235777,0.04018630838209455,0.004386210272213782,1.2146464421808638,0.11459389280746489,0.6559647817145692,0.02341001818160001
J-tail,A,0.3,10,0.2806529877575846,2.17652971026752,0.08822580511446747,0.036301618151267964,0.001658628513656286,1.0669911607518556,0.10212332250985265,0.6301122503272428,0.012999977947280278
J-tail,B,0.2,10,0.1885684497121982,3.505149581291996,0.19721925729676215,0.08116358648047699,0.004426054976395265,1.6461877424763613,0.21018595508714275,0.7483242092695341,0.010983183291810444
J-tail,B,0.25,10,0.22247597552482185,3.309202486352303,0.05514919363148398,0.07656463365301625,0.001409091740300252,1.5014799020281004,0.13887653843988287,0.7369207188067692,0.0022291515068115944
J-tail,B,0.3,10,0.28539818142071716,3.1079433481401115,0.10516574456675395,0.0655969206763997,0.003870284331068085,1.5620102694948066,0.14863661604060208,0.7173048416373453,0.011596443922924528
