weight_setting,customer_set,budget,runs,cost_increase_pct_mean,common_global_risk_mean,common_global_risk_std,common_global_cvar90_mean,common_global_cvar90_std,load_global_risk_mean,load_global_risk_std,common_top10_burden_share_mean,common_top10_burden_share_std
J-balanced,A,0.2,10,0.19271403409927243,2.6967812548647423,0.08388286751592058,0.05091232472961116,0.0049600288922144065,1.3184786930664074,0.14401878921462305,0.708468344128797,0.010809051791710165
J-balanced,A,0.25,10,0.2377290923260659,2.3572602367527926,0.17622792581235777,0.04018630838209455,0.004386210272213782,1.2146464421808638,0.11459389280746489,0.6559647817145692,0.02341001818160001
J-balanced,A,0.3,10,0.2806529877575846,2.17652971026752,0.08822580511446747,0.036301618151267964,0.001658628513656286,1.0669911607518556,0.10212332250985265,0.6301122503272428,0.012999977947280278
J-balanced,B,0.2,10,0.1885684497121982,3.505149581291996,0.19721925729676215,0.08116358648047699,0.004426054976395265,1.6461877424763613,0.21018595508714275,0.7483242092695341,0.010983183291810444
J-balanced,B,0.25,10,0.2207207114512139,3.341531064640801,0.10898277782755385,0.07738093253182421,0.0020999019172657533,1.4363204173478663,0.14338978306537886,0.7391560851076818,0.006158592250914996
J-balanced,B,0.3,10,0.2857493241687671,3.1146140802215925,0.1140320555810069,0.06601131606853042,0.004563776647830175,1.5229434512711022,0.20128552732393956,0.7185120628339887,0.012924816551977853
J-conc,A,0.2,10,0.19271403409927243,2.6967812548647423,0.08388286751592058,0.05091232472961116,0.0049600288922144065,1.3184786930664074,0.14401878921462305,0.708468344128797,0.010809051791710165
J-conc,A,0.25,10,0.2377290923260659,2.3572602367527926,0.17622792581235777,0.04018630838209455,0.004386210272213782,1.2146464421808638,0.11459389280746489,0.6559647817145692,0.02341001818160001
J-conc,A,0.3,10,0.2806529877575846,2.17652971026752,0.08822580511446747,0.036301618151267964,0.001658628513656286,1.0669911607518556,0.10212332250985265,0.6301122503272428,0.012999977947280278
J-conc,B,0.2,10,0.1885684497121982,3.505149581291996,0.19721925729676215,0.08116358648047699,0.004426054976395265,1.6461877424763613,0.21018595508714275,0.7483242092695341,0.010983183291810444
J-conc,B,0.25,10,0.21788831517051516,3.2979426584556792,0.04457256143604871,0.07639699452545531,0.0012571919314384322,1.5166736026800995,0.12836119771201562,0.7364577692513721,0.001817193175139496
J-conc,B,0.3,10,0.28539818142071716,3.1079433481401115,0.10516574456675395,0.0655969206763997,0.003870284331068085,1.5620102694948066,0.14863661604060208,0.7173048416373453,0.011596443922924528
J-load,A,0.2,10,0.19170581762004496,2.7035545353968606,0.0877607449054856,0.05098854077917878,0.004923790076541001,1.3024422633902035,0.12850757202467136,0.7100945273923379,0.01144157619970151
J-load,A,0.25,10,0.2369962400980309,2.390404514169598,0.18742912833256323,0.040433108423110896,0.004258961968974286,1.1717599988429543,0.11171908339200386,0.6618954022976642,0.026793609262479593
J-load,A,0.3,10,0.2790731134311021,2.184771683247542,0.09302309705255903,0.03653127483381795,0.0018652351703727875,1.049141717196734,0.08310595778926834,0.632066057872536,0.014309865538328508
