delta,seed,year,risk_dir,edge_count,risk_min,risk_max,risk_mean,risk_p25,risk_p50,risk_p75,risk_p90,risk_p95,risk_p99,zero_risk_edge_count,zero_risk_edge_ratio,edge_attribute_zero_ratio
0.03,0,data_2020,hazmat_risk_experiments\outputs_10seed\stable_tail_rc_posthoc\risk_matrices\stable_tail_rc_gnn_splitB_seed0_10seed_floor_0p01_delta0p03,6603,3.405986095777379e-10,0.8788312405733995,0.01848518619672556,0.00056519506655884,0.0015381290340542155,0.0035279912018965484,0.00858758403368544,0.08070106810934821,0.43417978927115597,0,0.0,0.928365894290474
0.03,0,data_2021,hazmat_risk_experiments\outputs_10seed\stable_tail_rc_posthoc\risk_matrices\stable_tail_rc_gnn_splitB_seed0_10seed_floor_0p01_delta0p03,7647,1.2715033209663337e-17,0.8539878145603697,0.01581538495359397,0.0005941055617358971,0.0015292818962135046,0.0034963014838481736,0.008425428795236233,0.06949524826893567,0.4139652653702682,1,0.0001307702366941284,0.9314763959722767
0.03,1,data_2020,hazmat_risk_experiments\outputs_10seed\stable_tail_rc_posthoc\risk_matrices\stable_tail_rc_gnn_splitB_seed1_10seed_floor_0p01_delta0p03,6603,4.523033149811838e-20,0.8989301818500691,0.019536596250763646,0.000630760047490668,0.0014961224709409934,0.0038541258895384714,0.008608826820125199,0.07915718831047339,0.43905095679570183,4,0.0006057852491291837,0.928365894290474
0.03,1,data_2021,hazmat_risk_experiments\outputs_10seed\stable_tail_rc_posthoc\risk_matrices\stable_tail_rc_gnn_splitB_seed1_10seed_floor_0p01_delta0p03,7647,3.1494189743679718e-21,0.8720660890613319,0.01653762929261937,0.0006408480827368176,0.0014693964194677838,0.003485061711287371,0.008532450982345681,0.05985470664417649,0.430888780170982,10,0.0013077023669412842,0.9314763959722767
0.03,2,data_2020,hazmat_risk_experiments\outputs_10seed\stable_tail_rc_posthoc\risk_matrices\stable_tail_rc_gnn_splitB_seed2_10seed_floor_0p01_delta0p03,6603,3.097738523077883e-07,0.9329763182339673,0.0196808451460075,0.0007420499463368745,0.0016502567473891537,0.003858394547794661,0.008540809763034243,0.08156944381361965,0.43131089860120364,0,0.0,0.928365894290474
0.03,2,data_2021,hazmat_risk_experiments\outputs_10seed\stable_tail_rc_posthoc\risk_matrices\stable_tail_rc_gnn_splitB_seed2_10seed_floor_0p01_delta0p03,7647,3.405979777581605e-10,0.9036108090084057,0.01802455085239363,0.0007796620739913597,0.0017319410898035173,0.004068169287500381,0.008534577323475623,0.07180691785209319,0.4294552104245789,0,0.0,0.9314763959722767
0.03,3,data_2020,hazmat_risk_experiments\outputs_10seed\stable_tail_rc_posthoc\risk_matrices\stable_tail_rc_gnn_splitB_seed3_10seed_floor_0p01_delta0p03,6603,1.9890922133600932e-07,0.9162453434475026,0.01797473673925495,0.0007130156641782853,0.0016819875997726404,0.0035080384504481013,0.008608300453673843,0.07235355451936418,0.4347169604928146,0,0.0,0.928365894290474
0.03,3,data_2021,hazmat_risk_experiments\outputs_10seed\stable_tail_rc_posthoc\risk_matrices\stable_tail_rc_gnn_splitB_seed3_10seed_floor_0p01_delta0p03,7647,6.284491415299458e-08,0.861418699111936,0.014643301872418309,0.0007138226910127075,0.0016223226786595947,0.003267184389287102,0.008337989025395218,0.05755348608061236,0.3761450014144913,0,0.0,0.9314763959722767
0.03,4,data_2020,hazmat_risk_experiments\outputs_10seed\stable_tail_rc_posthoc\risk_matrices\stable_tail_rc_gnn_splitB_seed4_10seed_floor_0p01_delta0p03,6603,5.108969275809092e-09,0.9156679324415654,0.01979191043402808,0.0008506656293712987,0.0018727849852423013,0.004020935105494946,0.008718097903802529,0.08663698526445306,0.4402639498255808,0,0.0,0.928365894290474
0.03,4,data_2021,hazmat_risk_experiments\outputs_10seed\stable_tail_rc_posthoc\risk_matrices\stable_tail_rc_gnn_splitB_seed4_10seed_floor_0p01_delta0p03,7647,1.1920928690424641e-09,0.904138693476632,0.01827780520870995,0.0008924590460413921,0.0019000164020525673,0.0037523322466531677,0.00862256046590066,0.07173375477896077,0.4354393091492531,0,0.0,0.9314763959722767
